# lat,lng,id,name,building_type,type,url,page_type
# Casal di Principe -- Tutti
41.009654,14.100093,ov_classe_76_41.0097_14.1001,Classe 76,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/classe_76_41.0097_14.1001.json,custom
41.010095,14.099957,ov_ristorante_neverland_41.0101_14.1000,Ristorante Neverland,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/ristorante_neverland_41.0101_14.1000.json,custom
41.009807,14.099488,ov_il_veliero_41.0098_14.0995,Il Veliero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/il_veliero_41.0098_14.0995.json,custom
41.008900,14.106780,ov_il_principe_food_41.0089_14.1068,Il principe food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/il_principe_food_41.0089_14.1068.json,custom
41.009130,14.104344,ov_american_pizza_di_conte_rita_41.0091_14.1043,American Pizza di Conte Rita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/american_pizza_di_conte_rita_41.0091_14.1043.json,custom
41.009129,14.104850,ov_pizzeria_american_pizza__41.0091_14.1048,Pizzeria American Pizza.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/pizzeria_american_pizza_41.0091_14.1048.json,custom
41.008580,14.108379,ov_il_braciere_di_pako_41.0086_14.1084,Il Braciere di pako,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/il_braciere_di_pako_41.0086_14.1084.json,custom
41.008333,14.110526,ov_pizzeria_anema_e_core_41.0083_14.1105,Pizzeria Anema e Core,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/pizzeria_anema_e_core_41.0083_14.1105.json,custom
41.007911,14.114543,ov_pizzeria_la_lanterna_41.0079_14.1145,Pizzeria La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/pizzeria_la_lanterna_41.0079_14.1145.json,custom
41.007664,14.116312,ov_fratelli_iaiunese___casal_di_principe_41.0077_14.1163,Fratelli Iaiunese - Casal di Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/fratelli_iaiunese_-_casal_di_principe_41.0077_14.1163.json,custom
41.007260,14.118280,ov_exclusive_pizza_e_cucina_41.0073_14.1183,Exclusive Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/exclusive_pizza_e_cucina_41.0073_14.1183.json,custom
41.007308,14.118762,ov_anema_e_core_41.0073_14.1188,Anema e core,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/anema_e_core_41.0073_14.1188.json,custom
41.006985,14.121623,ov_pizzeria_zii_anna_41.0070_14.1216,Pizzeria Zii Anna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/pizzeria_zii_anna_41.0070_14.1216.json,custom
41.012905,14.119156,ov_pizzeria_il_capriccio_41.0129_14.1192,Pizzeria Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/pizzeria_il_capriccio_41.0129_14.1192.json,custom
41.012443,14.127785,ov_lccar__41.0124_14.1278,Lccarì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/lccar_41.0124_14.1278.json,custom
41.006928,14.122753,ov_ali_kebab_41.0069_14.1228,Ali Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/ali_kebab_41.0069_14.1228.json,custom
41.006623,14.122639,ov_lavorasicuro_consulenza_aziendale_41.0066_14.1226,LavoraSicuro Consulenza Aziendale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/lavorasicuro_consulenza_aziendale_41.0066_14.1226.json,custom
41.006530,14.124460,ov_il_principe_41.0065_14.1245,Il Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/il_principe_41.0065_14.1245.json,custom
41.010103,14.131999,ov_il_pizzo_41.0101_14.1320,Il Pizzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/il_pizzo_41.0101_14.1320.json,custom
41.014951,14.136456,ov_raro_locanda_41.0150_14.1365,Raro Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/raro_locanda_41.0150_14.1365.json,custom
41.014820,14.135785,ov_brace_viva_steakhouse_41.0148_14.1358,Brace Viva Steakhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/brace_viva_steakhouse_41.0148_14.1358.json,custom
41.014602,14.135637,ov_black_hungry_di_oreste_conte_41.0146_14.1356,Black Hungry di Oreste Conte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/black_hungry_di_oreste_conte_41.0146_14.1356.json,custom
41.011400,14.132600,ov_pizzeria_raro_casal_di_principe_41.0114_14.1326,Pizzeria Raro Casal Di Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/pizzeria_raro_casal_di_principe_41.0114_14.1326.json,custom
41.012065,14.133002,ov_lievito_41.0121_14.1330,Lievito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/lievito_41.0121_14.1330.json,custom
41.013160,14.131683,ov_pizzeria_peter_41.0132_14.1317,Pizzeria Peter,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casal_di_principe/pages/pizzeria_peter_41.0132_14.1317.json,custom
