# lat,lng,id,name,building_type,type,url,page_type
# sconosciuta -- gyms
41.199406,14.492098,osm_palestra_angelo_fasano_41.1994_14.4921,Palestra Angelo Fasano,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/palestra_angelo_fasano_41.1994_14.4921.json,custom
41.083211,14.317056,osm_agogh__wellness_asd_41.0832_14.3171,Agoghè Wellness ASD,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/agogh_wellness_asd_41.0832_14.3171.json,custom
41.091472,14.273604,osm_jalmica_41.0915_14.2736,Jalmica,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/jalmica_41.0915_14.2736.json,custom
41.956893,13.536506,osm_azzurra_fit_village_41.9569_13.5365,Azzurra fit village,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/azzurra_fit_village_41.9569_13.5365.json,custom
41.125287,14.781429,osm_fit_house_41.1253_14.7814,Fit House,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/fit_house_41.1253_14.7814.json,custom
41.039207,14.314375,osm_asd_planet_fitness_evolution_41.0392_14.3144,ASD PLANET FITNESS EVOLUTION,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/asd_planet_fitness_evolution_41.0392_14.3144.json,custom
41.036103,14.655590,osm_centro_fisio_41.0361_14.6556,Centro Fisio,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/centro_fisio_41.0361_14.6556.json,custom
41.996183,14.998468,osm_iron_gym_41.9962_14.9985,Iron Gym,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/iron_gym_41.9962_14.9985.json,custom
41.319768,14.104486,osm_palestra_comunale_41.3198_14.1045,Palestra comunale,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/palestra_comunale_41.3198_14.1045.json,custom
41.342790,14.368725,osm_palazzetto_dello_sport_41.3428_14.3687,Palazzetto dello Sport,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/palazzetto_dello_sport_41.3428_14.3687.json,custom
41.689020,14.959198,osm_piscina_comunale_41.6890_14.9592,Piscina comunale,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/piscina_comunale_41.6890_14.9592.json,custom
41.007298,14.779776,osm_palestra_comunale_41.0073_14.7798,Palestra comunale,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/palestra_comunale_41.0073_14.7798.json,custom
41.006856,14.781803,osm_palestra_comunale_41.0069_14.7818,Palestra comunale,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/palestra_comunale_41.0069_14.7818.json,custom
41.229661,14.533495,osm_club_house_e_centro_benessere_41.2297_14.5335,Club House e Centro Benessere,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/club_house_e_centro_benessere_41.2297_14.5335.json,custom
41.041571,14.378496,osm_centro_polisportivo_dinamiklab_41.0416_14.3785,Centro Polisportivo Dinamiklab,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/centro_polisportivo_dinamiklab_41.0416_14.3785.json,custom
41.222003,14.535233,osm_centro_fitness_seneta_41.2220_14.5352,Centro Fitness Seneta,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/centro_fitness_seneta_41.2220_14.5352.json,custom
41.061198,14.644623,osm_monfit_centro_fitness_41.0612_14.6446,MonFit Centro Fitness,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/monfit_centro_fitness_41.0612_14.6446.json,custom
41.143909,14.038840,osm_campo_polivalente_sportivo_mario_forzier_41.1439_14.0388,Campo Polivalente Sportivo Mario Forziero,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/campo_polivalente_sportivo_mario_forzier_41.1439_14.0388.json,custom
41.057068,14.653934,osm_up_level___montesarchio_41.0571_14.6539,UP Level - Montesarchio,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/up_level_-_montesarchio_41.0571_14.6539.json,custom
41.261317,13.613742,osm_palestra_fabiani_41.2613_13.6137,Palestra Fabiani,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sconosciuta/pages/palestra_fabiani_41.2613_13.6137.json,custom
