# lat,lng,id,name,building_type,type,url,page_type
# sora -- restaurants
41.698766,13.582914,ov_mcdonald_s_41.6988_13.5829,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/mcdonalds_41.6988_13.5829.json,custom
41.697565,13.580794,ov_milu_41.6976_13.5808,Milu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/milu_41.6976_13.5808.json,custom
41.698568,13.581396,ov_fermento_pizza_e_cucina_41.6986_13.5814,Fermento Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/fermento_pizza_e_cucina_41.6986_13.5814.json,custom
41.698790,13.565776,ov_drink_food_service_s_r_l__41.6988_13.5658,Drink Food Service S.R.L.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/drink_food_service_srl_41.6988_13.5658.json,custom
41.700990,13.576180,ov_pizzeria_spizzica_41.7010_13.5762,Pizzeria Spizzica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/pizzeria_spizzica_41.7010_13.5762.json,custom
41.707893,13.566312,ov_le_bonta_di_frank_41.7079_13.5663,Le Bonta di Frank,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/le_bonta_di_frank_41.7079_13.5663.json,custom
41.708039,13.566080,ov_ristorante_gli_antichi_sapori_di_napoli_41.7080_13.5661,Ristorante Gli Antichi Sapori di Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/ristorante_gli_antichi_sapori_di_napoli_41.7080_13.5661.json,custom
41.715437,13.574217,ov_pizzeria_ristorante_marcelli_41.7154_13.5742,Pizzeria Ristorante Marcelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/pizzeria_ristorante_marcelli_41.7154_13.5742.json,custom
41.707774,13.588722,ov_osteria_fragoletta_41.7078_13.5887,Osteria Fragoletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/osteria_fragoletta_41.7078_13.5887.json,custom
41.702977,13.589810,ov_burger_king_41.7030_13.5898,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/burger_king_41.7030_13.5898.json,custom
41.708878,13.598025,ov_doppio_zero_41.7089_13.5980,Doppio Zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/doppio_zero_41.7089_13.5980.json,custom
41.708558,13.597518,ov_honkaku_sushi_41.7086_13.5975,Honkaku sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/honkaku_sushi_41.7086_13.5975.json,custom
41.710007,13.599227,ov_mcdonald_s_41.7100_13.5992,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/mcdonalds_41.7100_13.5992.json,custom
41.709180,13.598227,ov_ristorante_cinese_giapponese_bella_capit_41.7092_13.5982,Ristorante Cinese Giapponese Bella Capitale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/sora/pages/ristorante_cinese_giapponese_bella_capit_41.7092_13.5982.json,custom
