# lat,lng,id,name,building_type,type,url,page_type
# Bra -- Tutti
44.703432,7.850378,ov_clinica_san_michele_di_bra_44.7034_7.8504,Clinica San Michele Di Bra,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/clinica_san_michele_di_bra_44.7034_7.8504.json,custom
44.701958,7.848064,ov_ospedale_santo_spirito_44.7020_7.8481,Ospedale Santo Spirito,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/ospedale_santo_spirito_44.7020_7.8481.json,custom
44.702703,7.848468,ov_pronto_soccorso_bra_44.7027_7.8485,Pronto Soccorso Bra,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/pronto_soccorso_bra_44.7027_7.8485.json,custom
44.699314,7.854026,osm_asl_cn2_dipartimento_salute_mentale_44.6993_7.8540,ASL CN2 Dipartimento Salute Mentale,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/asl_cn2_dipartimento_salute_mentale_44.6993_7.8540.json,custom
44.702567,7.848319,osm_ex_ospedale_santo_spirito_44.7026_7.8483,Ex Ospedale Santo Spirito,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/ex_ospedale_santo_spirito_44.7026_7.8483.json,custom
44.696743,7.858583,osm_casa_di_cura_privata_citt__di_bra_44.6967_7.8586,Casa di Cura Privata Città di Bra,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/casa_di_cura_privata_citt_di_bra_44.6967_7.8586.json,custom
44.686759,7.896056,ov_scuderie_sabaude_44.6868_7.8961,Scuderie Sabaude,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/scuderie_sabaude_44.6868_7.8961.json,custom
44.685968,7.895534,ov_ristorante_la_soffitta_44.6860_7.8955,Ristorante La Soffitta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/ristorante_la_soffitta_44.6860_7.8955.json,custom
44.683841,7.893948,ov_carpe_noctem_et_diem_44.6838_7.8939,Carpe Noctem Et Diem,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/carpe_noctem_et_diem_44.6838_7.8939.json,custom
44.683100,7.893725,ov_ristorante_da_guido_44.6831_7.8937,Ristorante da Guido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/ristorante_da_guido_44.6831_7.8937.json,custom
44.683099,7.894226,ov_scuderie_sabaude_44.6831_7.8942,Scuderie Sabaude,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/scuderie_sabaude_44.6831_7.8942.json,custom
44.681509,7.893399,ov_ristorante_garden_44.6815_7.8934,Ristorante Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/ristorante_garden_44.6815_7.8934.json,custom
44.679958,7.847379,ov_il_barrio_bbq___grill_44.6800_7.8474,il Barrio BBQ & GRILL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/il_barrio_bbq_grill_44.6800_7.8474.json,custom
44.680355,7.846942,ov_l_oste_ristorante_pizzeria_44.6804_7.8469,L'Oste Ristorante-Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/loste_ristorante-pizzeria_44.6804_7.8469.json,custom
44.682315,7.851607,ov_pizzeria_da_tony_44.6823_7.8516,Pizzeria Da Tony,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/pizzeria_da_tony_44.6823_7.8516.json,custom
44.687239,7.839534,ov_pizzeria_trattoria_pippi_44.6872_7.8395,Pizzeria Trattoria Pippi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/pizzeria_trattoria_pippi_44.6872_7.8395.json,custom
44.733554,7.812178,ov_officina_del_mare_44.7336_7.8122,Officina del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/officina_del_mare_44.7336_7.8122.json,custom
44.722009,7.819520,ov_circolo_los_bandidos_44.7220_7.8195,Circolo Los Bandidos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/circolo_los_bandidos_44.7220_7.8195.json,custom
44.719963,7.823207,ov_all__angolo_7_44.7200_7.8232,All' Angolo 7,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/all_angolo_7_44.7200_7.8232.json,custom
44.710304,7.835528,ov_ristoself_per_tutti_i_gusti_44.7103_7.8355,RistoSelf Per tutti i gusti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/ristoself_per_tutti_i_gusti_44.7103_7.8355.json,custom
44.704881,7.839846,ov_pizzeria_pipote_44.7049_7.8398,pizzeria pipote,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/pizzeria_pipote_44.7049_7.8398.json,custom
44.706485,7.838756,ov_sbranami_bra_44.7065_7.8388,Sbranami Bra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/sbranami_bra_44.7065_7.8388.json,custom
44.708110,7.841670,ov_ristorante_pizzeria_dei_fiori_44.7081_7.8417,Ristorante Pizzeria dei Fiori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/ristorante_pizzeria_dei_fiori_44.7081_7.8417.json,custom
44.705885,7.843740,ov_nin_hao_44.7059_7.8437,Nin Hao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/nin_hao_44.7059_7.8437.json,custom
44.705469,7.841875,ov_il_terzo_tempo_hockey_club_44.7055_7.8419,Il Terzo Tempo Hockey Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/il_terzo_tempo_hockey_club_44.7055_7.8419.json,custom
44.704230,7.845352,ov_pizza_si_44.7042_7.8454,Pizza Si,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/pizza_si_44.7042_7.8454.json,custom
44.704409,7.845144,ov_xin_sushi_44.7044_7.8451,Xin Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bra/pages/xin_sushi_44.7044_7.8451.json,custom
