# lat,lng,id,name,building_type,type,url,page_type
# cambiano -- restaurants
44.972340,7.763337,ov_walter_s_food_44.9723_7.7633,Walter's Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/walters_food_44.9723_7.7633.json,custom
44.971556,7.763733,ov_officina_44.9716_7.7637,Officina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/officina_44.9716_7.7637.json,custom
44.973084,7.762250,ov_bar_centro_gomme_44.9731_7.7623,Bar Centro Gomme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/bar_centro_gomme_44.9731_7.7623.json,custom
44.963327,7.777948,ov_il_pappagallo_44.9633_7.7779,Il Pappagallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/il_pappagallo_44.9633_7.7779.json,custom
44.967001,7.772883,ov_tex_mex_fusion_44.9670_7.7729,Tex Mex Fusion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/tex_mex_fusion_44.9670_7.7729.json,custom
44.967848,7.770277,ov_osteria_degli_amici_44.9678_7.7703,Osteria degli amici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/osteria_degli_amici_44.9678_7.7703.json,custom
44.970329,7.776424,ov_il_giardino_del_viale_44.9703_7.7764,Il giardino del viale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/il_giardino_del_viale_44.9703_7.7764.json,custom
44.969555,7.776075,ov_pizza_da_simo_44.9696_7.7761,pizza_da_simo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/pizzadasimo_44.9696_7.7761.json,custom
44.967389,7.772787,ov_g_a_f__44.9674_7.7728,G.A.F.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/gaf_44.9674_7.7728.json,custom
44.968422,7.775382,ov_la_dolce_vita_44.9684_7.7754,La Dolce Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/la_dolce_vita_44.9684_7.7754.json,custom
44.964997,7.778724,ov_america_graffiti_44.9650_7.7787,America Graffiti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/america_graffiti_44.9650_7.7787.json,custom
44.972836,7.779079,ov_vecchio_cannone_d_oro_cambiano_44.9728_7.7791,Vecchio Cannone D'ORO Cambiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/vecchio_cannone_doro_cambiano_44.9728_7.7791.json,custom
44.973004,7.779108,ov_morsi_e_rimorsi_44.9730_7.7791,Morsi e Rimorsi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/morsi_e_rimorsi_44.9730_7.7791.json,custom
44.973491,7.780951,ov_ristorante_al_martini_44.9735_7.7810,Ristorante al Martini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/ristorante_al_martini_44.9735_7.7810.json,custom
44.997620,7.783860,ov_figliol_prodigo_44.9976_7.7839,Figliol Prodigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/figliol_prodigo_44.9976_7.7839.json,custom
44.969608,7.775948,osm_d_d_pizzeria_44.9696_7.7759,D&D Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/dd_pizzeria_44.9696_7.7759.json,custom
44.998140,7.784199,osm_trattoria_figliol_prodigo_44.9981_7.7842,Trattoria Figliol Prodigo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/trattoria_figliol_prodigo_44.9981_7.7842.json,custom
44.964997,7.778724,osm_american_graffiti_diner_44.9650_7.7787,American Graffiti Diner,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiano/pages/american_graffiti_diner_44.9650_7.7787.json,custom
