# lat,lng,id,name,building_type,type,url,page_type
# castiglione_olona -- bars_cafes
45.742663,8.869770,ov_l_andy_livemusic_45.7427_8.8698,L'Andy LiveMusic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/landy_livemusic_45.7427_8.8698.json,custom
45.756432,8.871301,ov_giove_s_caf__45.7564_8.8713,Giove's café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/gioves_caf_45.7564_8.8713.json,custom
45.753692,8.867476,ov_chiosco_del_castello_45.7537_8.8675,Chiosco del Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/chiosco_del_castello_45.7537_8.8675.json,custom
45.755757,8.865742,ov_al_bistrot_45.7558_8.8657,Al Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/al_bistrot_45.7558_8.8657.json,custom
45.755668,8.865710,ov_caff__del_borgo_45.7557_8.8657,Caffè del Borgo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/caff_del_borgo_45.7557_8.8657.json,custom
45.755990,8.866049,ov_bar_bistrot_castiglione_olona_45.7560_8.8660,Bar Bistrot Castiglione Olona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/bar_bistrot_castiglione_olona_45.7560_8.8660.json,custom
45.759870,8.864210,ov_caff__solaire_45.7599_8.8642,Caffè Solaire,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/caff_solaire_45.7599_8.8642.json,custom
45.745000,8.880243,ov_on_the_road_45.7450_8.8802,On The Road,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/on_the_road_45.7450_8.8802.json,custom
45.749757,8.878525,ov_garden_cafe_45.7498_8.8785,Garden Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/garden_cafe_45.7498_8.8785.json,custom
45.750470,8.878390,ov_damatr__caf__vineria_45.7505_8.8784,Damatrà Cafè Vineria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/damatr_caf_vineria_45.7505_8.8784.json,custom
45.750561,8.878250,ov_cafe_battisti_45.7506_8.8783,Cafe Battisti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/cafe_battisti_45.7506_8.8783.json,custom
45.753512,8.876955,ov_pasticceria_pastori_5_12_45.7535_8.8770,Pasticceria Pastori 5.12,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/pasticceria_pastori_512_45.7535_8.8770.json,custom
45.755637,8.873769,ov_mojito_cafe_45.7556_8.8738,Mojito Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/mojito_cafe_45.7556_8.8738.json,custom
45.752458,8.875166,ov_il_chiosco_isola_verde_45.7525_8.8752,Il chiosco isola verde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/il_chiosco_isola_verde_45.7525_8.8752.json,custom
45.741901,8.874740,ov_sports_caf__45.7419_8.8747,Sports Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/sports_caf_45.7419_8.8747.json,custom
45.743686,8.880299,osm_somadeo_da_amos_45.7437_8.8803,Somadeo da Amos,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/somadeo_da_amos_45.7437_8.8803.json,custom
45.755108,8.874470,osm_caff__lucioni_45.7551_8.8745,Caffè Lucioni,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/caff_lucioni_45.7551_8.8745.json,custom
45.753304,8.876516,osm_tappo12_45.7533_8.8765,Tappo12,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castiglione_olona/pages/tappo12_45.7533_8.8765.json,custom
