# lat,lng,id,name,building_type,type,url,page_type
# chiusa_di_san_michele -- Tutti
45.101504,7.329783,ov_bicigrill_san_michele_45.1015_7.3298,Bicigrill San Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/bicigrill_san_michele_45.1015_7.3298.json,custom
45.105219,7.332286,ov_ristorante_pizzeria_charlie_45.1052_7.3323,Ristorante Pizzeria Charlie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/ristorante_pizzeria_charlie_45.1052_7.3323.json,custom
45.105388,7.325286,ov_el_pan_paulin_45.1054_7.3253,El Pan Paulin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/el_pan_paulin_45.1054_7.3253.json,custom
45.105195,7.332330,osm_charlie_45.1052_7.3323,Charlie,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/charlie_45.1052_7.3323.json,custom
45.105889,7.320794,osm_trattoria_montefiori_45.1059_7.3208,Trattoria Montefiori,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/trattoria_montefiori_45.1059_7.3208.json,custom
45.106085,7.316669,osm_la_sfinge_45.1061_7.3167,La Sfinge,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/la_sfinge_45.1061_7.3167.json,custom
45.105961,7.318944,ov_buond__45.1060_7.3189,Buondì,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/buond_45.1060_7.3189.json,custom
45.105705,7.324054,ov_il_borgo_della_chiusa_45.1057_7.3241,Il Borgo della Chiusa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/il_borgo_della_chiusa_45.1057_7.3241.json,custom
45.105910,7.320794,ov_caffetteria_trattoria_montefiori_45.1059_7.3208,Caffetteria Trattoria Montefiori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/caffetteria_trattoria_montefiori_45.1059_7.3208.json,custom
45.107018,7.315818,osm_l_abitu__45.1070_7.3158,L'Abituè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/labitu_45.1070_7.3158.json,custom
45.106163,7.310979,osm_4_punto_zero_45.1062_7.3110,4 punto zero,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/4_punto_zero_45.1062_7.3110.json,custom
45.101337,7.329816,osm_bicigrill_san_michele_45.1013_7.3298,Bicigrill San Michele,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/bicigrill_san_michele_45.1013_7.3298.json,custom
45.104886,7.326252,ov_museo_delle_cere_amsterdam_45.1049_7.3263,Museo Delle Cere Amsterdam,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/museo_delle_cere_amsterdam_45.1049_7.3263.json,custom
45.102160,7.326380,ov_biblioteca_comunale_chiusa_di_san_michel_45.1022_7.3264,Biblioteca Comunale Chiusa di San Michele,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/chiusa_di_san_michele/pages/biblioteca_comunale_chiusa_di_san_michel_45.1022_7.3264.json,custom
