# lat,lng,id,name,building_type,type,url,page_type
# dogliani -- Tutti
44.530826,7.944374,ov_ospedale_civico_44.5308_7.9444,Ospedale Civico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/ospedale_civico_44.5308_7.9444.json,custom
44.530835,7.943860,osm_asl_cn1_distretto_di_dogliani_44.5308_7.9439,ASL CN1 Distretto di Dogliani,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/asl_cn1_distretto_di_dogliani_44.5308_7.9439.json,custom
44.390820,7.782050,ov_panicunzatu_44.3908_7.7820,Panicunzatu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/panicunzatu_44.3908_7.7820.json,custom
44.537989,7.933733,ov_cucina_decanto_44.5380_7.9337,Cucina Decanto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/cucina_decanto_44.5380_7.9337.json,custom
44.536354,7.934712,ov_ristorante_trattoria_la_dolce_vite_44.5364_7.9347,Ristorante Trattoria La Dolce Vite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/ristorante_trattoria_la_dolce_vite_44.5364_7.9347.json,custom
44.534424,7.937513,ov_polleria_bordin_srl_44.5344_7.9375,Polleria Bordin Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/polleria_bordin_srl_44.5344_7.9375.json,custom
44.533898,7.976929,ov_osteria_dei_binelli_44.5339_7.9769,Osteria dei Binelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/osteria_dei_binelli_44.5339_7.9769.json,custom
44.519240,7.945564,ov_cascina_manzo_44.5192_7.9456,Cascina Manzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/cascina_manzo_44.5192_7.9456.json,custom
44.514484,7.938871,ov_osteria_barroeri_44.5145_7.9389,Osteria barroeri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/osteria_barroeri_44.5145_7.9389.json,custom
44.529280,7.947783,ov_cianc__44.5293_7.9478,Ciancé,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/dogliani/pages/cianc_44.5293_7.9478.json,custom
