# lat,lng,id,name,building_type,type,url,page_type
# Erba -- Tutti
45.816750,9.225670,ov_ospedale_di_erba_45.8167_9.2257,Ospedale di Erba,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/ospedale_di_erba_45.8167_9.2257.json,custom
45.813080,9.224710,ov_dr__giuseppe_e__rivolta_studio_medicina__45.8131_9.2247,Dr. Giuseppe E. Rivolta Studio Medicina Generale Erba,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/dr_giuseppe_e_rivolta_studio_medicina_ge_45.8131_9.2247.json,custom
45.802890,9.246532,ov_centro_polifunzionale_emergenza_45.8029_9.2465,Centro Polifunzionale Emergenza,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/centro_polifunzionale_emergenza_45.8029_9.2465.json,custom
45.819417,9.212024,ov_al_glicine_trattoria_con_vista_45.8194_9.2120,Al Glicine trattoria con vista,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/al_glicine_trattoria_con_vista_45.8194_9.2120.json,custom
45.816725,9.206144,ov_trattoria_alpina_45.8167_9.2061,Trattoria Alpina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/trattoria_alpina_45.8167_9.2061.json,custom
45.811297,9.209974,ov_trattoria_zoccolo_45.8113_9.2100,Trattoria Zoccolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/trattoria_zoccolo_45.8113_9.2100.json,custom
45.810676,9.216024,ov_osteria_italia_erba_45.8107_9.2160,Osteria Italia Erba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/osteria_italia_erba_45.8107_9.2160.json,custom
45.809701,9.217821,ov_shabu_erba_45.8097_9.2178,Shabu Erba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/shabu_erba_45.8097_9.2178.json,custom
45.815560,9.216389,ov_pizzeria_trattoria_giardino_45.8156_9.2164,Pizzeria Trattoria Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/pizzeria_trattoria_giardino_45.8156_9.2164.json,custom
45.820972,9.229271,ov_da_morris_45.8210_9.2293,Da Morris,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/da_morris_45.8210_9.2293.json,custom
45.816218,9.231982,ov_pizzeria_el_cairo_45.8162_9.2320,Pizzeria El Cairo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/pizzeria_el_cairo_45.8162_9.2320.json,custom
45.813526,9.227142,ov_ristorante_pizzeria_elvis_erba_45.8135_9.2271,Ristorante Pizzeria Elvis Erba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/ristorante_pizzeria_elvis_erba_45.8135_9.2271.json,custom
45.813443,9.227145,ov_il_capriccio_45.8134_9.2271,Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/erba/pages/il_capriccio_45.8134_9.2271.json,custom
