# lat,lng,id,name,building_type,type,url,page_type
# ferno -- restaurants
45.648145,8.721445,ov_mcdonald_s_45.6481_8.7214,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/mcdonalds_45.6481_8.7214.json,custom
45.639488,8.725033,ov_spontini_45.6395_8.7250,Spontini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/spontini_45.6395_8.7250.json,custom
45.630086,8.725383,ov_wagamama_45.6301_8.7254,Wagamama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/wagamama_45.6301_8.7254.json,custom
45.627573,8.711094,ov_conneto_45.6276_8.7111,Conneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/conneto_45.6276_8.7111.json,custom
45.627419,8.711331,ov_il_canneto_restaurant_45.6274_8.7113,Il Canneto Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/il_canneto_restaurant_45.6274_8.7113.json,custom
45.627440,8.710977,ov_ristorante_il_canneto___sheraton_45.6274_8.7110,Ristorante Il Canneto - Sheraton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/ristorante_il_canneto_-_sheraton_45.6274_8.7110.json,custom
45.627345,8.712792,ov_bindi_dolci_e_caff__45.6273_8.7128,Bindi Dolci e Caffè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/bindi_dolci_e_caff_45.6273_8.7128.json,custom
45.626780,8.712766,ov_rossopomodoro_45.6268_8.7128,Rossopomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/rossopomodoro_45.6268_8.7128.json,custom
45.626630,8.712763,ov_caff__kimbo_t1_45.6266_8.7128,Caffè Kimbo T1,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/caff_kimbo_t1_45.6266_8.7128.json,custom
45.626630,8.712763,ov_autogrill_45.6266_8.7128,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ferno/pages/autogrill_45.6266_8.7128.json,custom
