# lat,lng,id,name,building_type,type,url,page_type
# lessolo -- Tutti
45.478959,7.816377,ov_osteria_dei_sapori_45.4790_7.8164,Osteria dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/osteria_dei_sapori_45.4790_7.8164.json,custom
45.479068,7.816281,ov_pizzeria_da_carol_45.4791_7.8163,Pizzeria da Carol,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/pizzeria_da_carol_45.4791_7.8163.json,custom
45.475697,7.814344,osm_bar_ristorante_pizzeria_degli_artisti_45.4757_7.8143,Bar Ristorante Pizzeria Degli Artisti,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/bar_ristorante_pizzeria_degli_artisti_45.4757_7.8143.json,custom
45.479026,7.816320,osm_sapori_di_calabria_45.4790_7.8163,Sapori di Calabria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/sapori_di_calabria_45.4790_7.8163.json,custom
45.479130,7.830700,ov_depa_caf__45.4791_7.8307,DePa Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/depa_caf_45.4791_7.8307.json,custom
45.477323,7.832133,osm_il_chioschetto_45.4773_7.8321,Il Chioschetto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/il_chioschetto_45.4773_7.8321.json,custom
45.475669,7.818587,ov_montana_horse_ranch_asd_45.4757_7.8186,Montana Horse Ranch ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/montana_horse_ranch_asd_45.4757_7.8186.json,custom
45.475609,7.814148,ov_il_nazionale_sala_da_ballo_45.4756_7.8141,Il Nazionale Sala da ballo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/il_nazionale_sala_da_ballo_45.4756_7.8141.json,custom
45.479393,7.831541,ov_roberto_sport_srl_45.4794_7.8315,Roberto Sport Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/roberto_sport_srl_45.4794_7.8315.json,custom
45.497871,7.828423,ov_parapendio_club_cavallaria_45.4979_7.8284,Parapendio Club Cavallaria,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/parapendio_club_cavallaria_45.4979_7.8284.json,custom
45.478719,7.816349,osm_poste_italiane_45.4787_7.8163,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lessolo/pages/poste_italiane_45.4787_7.8163.json,custom
