# lat,lng,id,name,building_type,type,url,page_type
# Paderno Dugnano -- Tutti
45.570898,9.168965,ov_ats_paderno_dugnano_45.5709_9.1690,ATS Paderno Dugnano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/ats_paderno_dugnano_45.5709_9.1690.json,custom
45.571434,9.194368,ov_ospedale_casa_di_cura_s__carlo_45.5714_9.1944,Ospedale Casa di Cura S. Carlo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/ospedale_casa_di_cura_s_carlo_45.5714_9.1944.json,custom
45.584184,9.145814,ov_red_sushi_45.5842_9.1458,Red Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/red_sushi_45.5842_9.1458.json,custom
45.582970,9.145796,ov_la_perla_nera_village_45.5830_9.1458,La Perla Nera Village,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/la_perla_nera_village_45.5830_9.1458.json,custom
45.583043,9.145812,ov_pizzaround_no_limits_45.5830_9.1458,Pizzaround No Limits,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/pizzaround_no_limits_45.5830_9.1458.json,custom
45.582255,9.145132,ov_la_favola_45.5823_9.1451,La Favola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/la_favola_45.5823_9.1451.json,custom
45.583301,9.153748,ov_osteria_montescudaio_45.5833_9.1537,Osteria Montescudaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/osteria_montescudaio_45.5833_9.1537.json,custom
45.584177,9.159997,ov_pizzeria_bombo_pizza_45.5842_9.1600,Pizzeria Bombo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/pizzeria_bombo_pizza_45.5842_9.1600.json,custom
45.582197,9.158337,ov_pizza_e_mozzarella_45.5822_9.1583,Pizza e Mozzarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/pizza_e_mozzarella_45.5822_9.1583.json,custom
45.581913,9.156921,ov_pizzeria_la_sfinge_45.5819_9.1569,Pizzeria La Sfinge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/pizzeria_la_sfinge_45.5819_9.1569.json,custom
45.581922,9.157012,ov_baan_thai_restaurant_45.5819_9.1570,Baan Thai Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/baan_thai_restaurant_45.5819_9.1570.json,custom
45.581842,9.157013,ov_ristorante_baan_thai_45.5818_9.1570,Ristorante Baan Thai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/ristorante_baan_thai_45.5818_9.1570.json,custom
45.581777,9.156640,ov_1902_trattoria___bar_45.5818_9.1566,1902 Trattoria - Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/1902_trattoria_-_bar_45.5818_9.1566.json,custom
45.580990,9.149593,ov_madonna_pizza_45.5810_9.1496,Madonna Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/madonna_pizza_45.5810_9.1496.json,custom
45.576339,9.146746,ov_la_birreria_italiana_45.5763_9.1467,La Birreria Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/la_birreria_italiana_45.5763_9.1467.json,custom
45.574853,9.147148,ov_el_guss_45.5749_9.1471,El Guss,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/el_guss_45.5749_9.1471.json,custom
45.577433,9.140351,ov_regine_45.5774_9.1404,Regine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/regine_45.5774_9.1404.json,custom
45.577396,9.141136,ov_argentino_s_45.5774_9.1411,Argentino's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/argentinos_45.5774_9.1411.json,custom
45.580225,9.145664,ov_oishi_sushi_45.5802_9.1457,Oishi Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/oishi_sushi_45.5802_9.1457.json,custom
45.580693,9.148575,ov_pizza_pazza_3_45.5807_9.1486,Pizza Pazza 3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/pizza_pazza_3_45.5807_9.1486.json,custom
45.580720,9.148540,ov_da_davide_45.5807_9.1485,Da Davide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/da_davide_45.5807_9.1485.json,custom
45.580589,9.147298,ov_pizzeria_red_sky_45.5806_9.1473,Pizzeria Red Sky,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/pizzeria_red_sky_45.5806_9.1473.json,custom
45.571470,9.147760,ov_ristorante_mediterraneo_45.5715_9.1478,Ristorante Mediterraneo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/paderno_dugnano/pages/ristorante_mediterraneo_45.5715_9.1478.json,custom
