# lat,lng,id,name,building_type,type,url,page_type
# Pontecurone -- Tutti
44.947752,8.919459,ov_pizzeria_ristorante_del_tosco_44.9478_8.9195,Pizzeria Ristorante del Tosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/pizzeria_ristorante_del_tosco_44.9478_8.9195.json,custom
44.959548,8.931687,ov_panificio_della_barca_44.9595_8.9317,Panificio Della Barca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/panificio_della_barca_44.9595_8.9317.json,custom
44.961730,8.934051,ov_da_paolo_e_laura_44.9617_8.9341,Da Paolo e Laura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/da_paolo_e_laura_44.9617_8.9341.json,custom
44.961817,8.934145,ov_trattoria_griglieria_c__milla_44.9618_8.9341,Trattoria Griglieria Cà Milla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/trattoria_griglieria_c_milla_44.9618_8.9341.json,custom
44.961640,8.933910,ov_il_carosello___ristorante___pizzeria_44.9616_8.9339,Il Carosello - Ristorante & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/il_carosello_-_ristorante_pizzeria_44.9616_8.9339.json,custom
44.961200,8.931467,ov_pizzeria_kebab_saray_44.9612_8.9315,Pizzeria kebab saray,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/pizzeria_kebab_saray_44.9612_8.9315.json,custom
44.973090,8.957541,ov_ristorante_pizzeria_la_fontana_44.9731_8.9575,Ristorante Pizzeria La Fontana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/ristorante_pizzeria_la_fontana_44.9731_8.9575.json,custom
44.979921,8.977984,ov_roadhouse_restaurant_44.9799_8.9780,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/roadhouse_restaurant_44.9799_8.9780.json,custom
44.957372,8.929527,ov_il_tiglio_pub_44.9574_8.9295,Il Tiglio Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/il_tiglio_pub_44.9574_8.9295.json,custom
44.958180,8.940230,ov_hot_caff__44.9582_8.9402,Hot Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/hot_caff_44.9582_8.9402.json,custom
44.964010,8.932810,ov_la_mela_pontecurone_44.9640_8.9328,La Mela Pontecurone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/la_mela_pontecurone_44.9640_8.9328.json,custom
44.960746,8.932064,ov_biblioteca_sandro_castelli_44.9607_8.9321,Biblioteca Sandro Castelli,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pontecurone/pages/biblioteca_sandro_castelli_44.9607_8.9321.json,custom
