# lat,lng,id,name,building_type,type,url,page_type
# pregnana_milanese -- restaurants
45.510119,9.001179,ov_pizzeria_pomodoro_e_basilico_45.5101_9.0012,Pizzeria pomodoro e basilico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/pizzeria_pomodoro_e_basilico_45.5101_9.0012.json,custom
45.510185,9.002023,ov_caff__del_borgo_45.5102_9.0020,Caffè del Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/caff_del_borgo_45.5102_9.0020.json,custom
45.509843,9.017374,ov_la_locanda_dei_gemelli_45.5098_9.0174,La Locanda dei Gemelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/la_locanda_dei_gemelli_45.5098_9.0174.json,custom
45.506895,8.996752,ov_ristorante_ai_serbelloni_45.5069_8.9968,Ristorante Ai Serbelloni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/ristorante_ai_serbelloni_45.5069_8.9968.json,custom
45.517630,9.006904,ov_civico_52_45.5176_9.0069,Civico 52,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/civico_52_45.5176_9.0069.json,custom
45.517425,9.007175,ov_pizzeria_trancio_di_raffaello_45.5174_9.0072,Pizzeria Trancio di Raffaello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/pizzeria_trancio_di_raffaello_45.5174_9.0072.json,custom
45.516482,8.999479,ov_c_ho_fame_45.5165_8.9995,C'ho Fame,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/cho_fame_45.5165_8.9995.json,custom
45.515624,9.004088,ov_pizzeria_5_sensi_45.5156_9.0041,Pizzeria 5 Sensi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/pizzeria_5_sensi_45.5156_9.0041.json,custom
45.516528,9.004647,ov_pizzeria_la_smorfia_45.5165_9.0046,Pizzeria La Smorfia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/pizzeria_la_smorfia_45.5165_9.0046.json,custom
45.516461,9.007717,ov_perla_nostra_45.5165_9.0077,Perla Nostra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/perla_nostra_45.5165_9.0077.json,custom
45.514230,9.009658,ov_il_conte___ristorante_a_pregnana_milanes_45.5142_9.0097,Il Conte | Ristorante a Pregnana Milanese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/il_conte_ristorante_a_pregnana_milanese_45.5142_9.0097.json,custom
45.514241,9.009754,ov_youki_japanese_restaurant_45.5142_9.0098,Youki Japanese Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pregnana_milanese/pages/youki_japanese_restaurant_45.5142_9.0098.json,custom
