# lat,lng,id,name,building_type,type,url,page_type
# risoul -- Tutti
44.648887,6.637272,ov_la_table_du_dahu_44.6489_6.6373,La Table du DAHU,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/la_table_du_dahu_44.6489_6.6373.json,custom
44.621555,6.633755,ov_l_avalanche_44.6216_6.6338,L'Avalanche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/lavalanche_44.6216_6.6338.json,custom
44.621626,6.634161,ov_restaurant_le_pitchounet_44.6216_6.6342,Restaurant le Pitchounet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/restaurant_le_pitchounet_44.6216_6.6342.json,custom
44.621443,6.633696,ov_restaurant_les_3_ours_44.6214_6.6337,Restaurant les 3 Ours,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/restaurant_les_3_ours_44.6214_6.6337.json,custom
44.621449,6.631419,ov_l_equinoxe_44.6214_6.6314,L’Equinoxe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/lequinoxe_44.6214_6.6314.json,custom
44.622866,6.634452,ov_l_assiette_gourmande_44.6229_6.6345,L'Assiette Gourmande,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/lassiette_gourmande_44.6229_6.6345.json,custom
44.622341,6.634422,ov_la_bergerie_risoul_44.6223_6.6344,La Bergerie Risoul,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/la_bergerie_risoul_44.6223_6.6344.json,custom
44.621919,6.633679,ov_l_extrad_44.6219_6.6337,L'Extrad,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/lextrad_44.6219_6.6337.json,custom
44.621834,6.633882,ov_l_edelweiss_44.6218_6.6339,L'Edelweiss,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/ledelweiss_44.6218_6.6339.json,custom
44.621864,6.633801,ov_chez_marco_44.6219_6.6338,Chez Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/chez_marco_44.6219_6.6338.json,custom
44.622429,6.634818,ov_la_marmite_44.6224_6.6348,La Marmite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/la_marmite_44.6224_6.6348.json,custom
44.609684,6.635315,ov_le_k2_44.6097_6.6353,Le K2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/le_k2_44.6097_6.6353.json,custom
44.610461,6.634709,ov_le_tetras_44.6105_6.6347,le Tetras,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/le_tetras_44.6105_6.6347.json,custom
44.590838,6.632521,ov_refuge_de_valbelle_44.5908_6.6325,refuge de Valbelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/refuge_de_valbelle_44.5908_6.6325.json,custom
44.621449,6.631089,osm_les_m_l_zes_44.6214_6.6311,Les Mélèzes,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/les_mlzes_44.6214_6.6311.json,custom
44.610881,6.612575,osm_l_homme_de_pierre_44.6109_6.6126,L'homme de Pierre,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/lhomme_de_pierre_44.6109_6.6126.json,custom
44.651557,6.639892,ov_la_bonne_auberge_44.6516_6.6399,La Bonne Auberge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/la_bonne_auberge_44.6516_6.6399.json,custom
44.648920,6.637197,ov_le_t_tras_44.6489_6.6372,Le Tétras,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/le_ttras_44.6489_6.6372.json,custom
44.648217,6.636846,ov_l_assiette_gourmande_44.6482_6.6368,L'Assiette Gourmande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/lassiette_gourmande_44.6482_6.6368.json,custom
44.623620,6.636164,ov_le_montagnard___risoul_station_44.6236_6.6362,Le Montagnard - Risoul Station,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/le_montagnard_-_risoul_station_44.6236_6.6362.json,custom
44.621240,6.630589,ov_la_grotte_du_yeti_44.6212_6.6306,La Grotte du Yeti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/la_grotte_du_yeti_44.6212_6.6306.json,custom
44.622351,6.634244,ov_pub_la_place_44.6224_6.6342,Pub La Place,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/pub_la_place_44.6224_6.6342.json,custom
44.621851,6.633483,ov_bar_rock_caf__44.6219_6.6335,Bar rock café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/bar_rock_caf_44.6219_6.6335.json,custom
44.621870,6.633801,ov_le_sun_bar_risoul_44.6219_6.6338,Le Sun Bar Risoul,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/le_sun_bar_risoul_44.6219_6.6338.json,custom
44.621891,6.634331,ov_chez_p_p__victor_44.6219_6.6343,Chez Pépé Victor,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/chez_pp_victor_44.6219_6.6343.json,custom
44.621853,6.634893,ov_le_hickory_44.6219_6.6349,Le Hickory,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/le_hickory_44.6219_6.6349.json,custom
44.622977,6.634768,ov_babao_rhum_44.6230_6.6348,Babao Rhum,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/babao_rhum_44.6230_6.6348.json,custom
44.621412,6.634645,ov_restaurant_le_snow_board_cafe_44.6214_6.6346,Restaurant Le Snow Board Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/risoul/pages/restaurant_le_snow_board_cafe_44.6214_6.6346.json,custom
