# lat,lng,id,name,building_type,type,url,page_type
# saanen -- gyms
46.483530,7.228280,ov_jagdsch_tzen_gstaad_46.4835_7.2283,Jagdschützen Gstaad,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/jagdschtzen_gstaad_46.4835_7.2283.json,custom
46.463848,7.285099,ov_paragliding_gstaad_46.4638_7.2851,Paragliding Gstaad,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/paragliding_gstaad_46.4638_7.2851.json,custom
46.466463,7.286354,ov_skischule_gstaad_46.4665_7.2864,Skischule Gstaad,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/skischule_gstaad_46.4665_7.2864.json,custom
46.479330,7.273840,ov_haus_der_dressur_46.4793_7.2738,Haus der Dressur,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/haus_der_dressur_46.4793_7.2738.json,custom
46.482181,7.276500,ov_kletterhalle_gstaad_46.4822_7.2765,Kletterhalle Gstaad,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/kletterhalle_gstaad_46.4822_7.2765.json,custom
46.485893,7.273440,ov_bewegungsraum_saanen_46.4859_7.2734,Bewegungsraum Saanen,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/bewegungsraum_saanen_46.4859_7.2734.json,custom
46.487608,7.259470,ov_gstaad_kickboxing_46.4876_7.2595,Gstaad Kickboxing,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/gstaad_kickboxing_46.4876_7.2595.json,custom
46.470917,7.282784,ov_sportzentrum_gstaad_ag_46.4709_7.2828,Sportzentrum Gstaad AG,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/sportzentrum_gstaad_ag_46.4709_7.2828.json,custom
46.470961,7.282953,ov_move_it_fitness_gstaad_46.4710_7.2830,Move it Fitness Gstaad,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/move_it_fitness_gstaad_46.4710_7.2830.json,custom
46.470915,7.282521,ov_minigolf_gstaad_46.4709_7.2825,Minigolf Gstaad,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saanen/pages/minigolf_gstaad_46.4709_7.2825.json,custom
