# lat,lng,id,name,building_type,type,url,page_type
# Samoëns -- Tutti
46.082614,6.728830,ov_le_lodge_restaurant_46.0826_6.7288,Le Lodge Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_lodge_restaurant_46.0826_6.7288.json,custom
46.077851,6.730585,ov_le_mazot_46.0779_6.7306,Le Mazot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_mazot_46.0779_6.7306.json,custom
46.064675,6.730707,ov_ferme_de_bemont_samo_ns_46.0647_6.7307,Ferme de Bemont Samoëns,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/ferme_de_bemont_samons_46.0647_6.7307.json,custom
46.053101,6.698085,ov_le_45_8_46.0531_6.6981,Le 45.8,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_458_46.0531_6.6981.json,custom
46.053021,6.698231,ov_demoiselle_des_saix_46.0530_6.6982,Demoiselle des Saix,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/demoiselle_des_saix_46.0530_6.6982.json,custom
46.052905,6.698538,ov_la_gamelle_46.0529_6.6985,La Gamelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/la_gamelle_46.0529_6.6985.json,custom
46.055864,6.702197,ov_lou_cabo_ns_46.0559_6.7022,Lou Caboëns,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/lou_cabons_46.0559_6.7022.json,custom
46.055853,6.703643,ov_restaurant_skyline_46.0559_6.7036,Restaurant Skyline,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/restaurant_skyline_46.0559_6.7036.json,custom
46.054825,6.702958,ov_au_pre_d_oscar_46.0548_6.7030,Au Pre d'Oscar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/au_pre_doscar_46.0548_6.7030.json,custom
46.040227,6.702749,ov_la_luge___t_ran_46.0402_6.7027,La Luge à Téran,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/la_luge_tran_46.0402_6.7027.json,custom
46.053277,6.716938,ov_le_blueberry_46.0533_6.7169,Le Blueberry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_blueberry_46.0533_6.7169.json,custom
46.057470,6.715600,ov_au_pr__d_oscar__46.0575_6.7156,Au Pré d'Oscar.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/au_pr_doscar_46.0575_6.7156.json,custom
46.077228,6.717962,ov_pizzeria_du_giffre_46.0772_6.7180,Pizzeria du Giffre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/pizzeria_du_giffre_46.0772_6.7180.json,custom
46.083530,6.718770,ov_refuge_du_lac_de_gers_46.0835_6.7188,Refuge du lac de Gers,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/refuge_du_lac_de_gers_46.0835_6.7188.json,custom
46.076890,6.719722,ov_la_ch_vre_46.0769_6.7197,La Chèvre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/la_chvre_46.0769_6.7197.json,custom
46.077124,6.718714,ov_mimy_s_crepes_46.0771_6.7187,Mimy's Crepes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/mimys_crepes_46.0771_6.7187.json,custom
46.080471,6.726371,ov_popcorn_vintage_46.0805_6.7264,Popcorn Vintage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/popcorn_vintage_46.0805_6.7264.json,custom
46.083568,6.727882,ov_alti_pizz_46.0836_6.7279,Alti pizz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/alti_pizz_46.0836_6.7279.json,custom
46.082417,6.727145,ov_la_louisiane_46.0824_6.7271,La Louisiane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/la_louisiane_46.0824_6.7271.json,custom
46.083020,6.726941,ov_le_8m_des_monts_46.0830_6.7269,le 8M des monts,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_8m_des_monts_46.0830_6.7269.json,custom
46.083311,6.726290,ov_le_grenier_savoyard_46.0833_6.7263,Le Grenier Savoyard,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_grenier_savoyard_46.0833_6.7263.json,custom
46.083189,6.725742,ov_mezzanine_46.0832_6.7257,Mezzanine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/mezzanine_46.0832_6.7257.json,custom
46.078578,6.724836,ov_la_table_de_fifine_46.0786_6.7248,La Table de Fifine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/la_table_de_fifine_46.0786_6.7248.json,custom
46.079856,6.724158,ov_la_grignoterie_46.0799_6.7242,La Grignoterie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/la_grignoterie_46.0799_6.7242.json,custom
46.084218,6.724507,ov_la_canette_burger_46.0842_6.7245,La Canette Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/la_canette_burger_46.0842_6.7245.json,custom
46.084280,6.723660,ov_la_marmotte_blanche_46.0843_6.7237,La Marmotte Blanche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/la_marmotte_blanche_46.0843_6.7237.json,custom
46.083464,6.724121,ov_restaurant_le_serac_46.0835_6.7241,Restaurant Le Serac,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/restaurant_le_serac_46.0835_6.7241.json,custom
46.082450,6.723466,ov_fabio_restaurant_46.0825_6.7235,Fabio Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/fabio_restaurant_46.0825_6.7235.json,custom
46.095830,6.722990,ov_lou_z_phines_46.0958_6.7230,Lou zéphines,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/lou_zphines_46.0958_6.7230.json,custom
46.084921,6.723351,ov_le_frahan_46.0849_6.7234,Le frahan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_frahan_46.0849_6.7234.json,custom
46.084951,6.723345,ov_natsuki_sushi___bento_46.0850_6.7233,Natsuki Sushi & Bento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/natsuki_sushi_bento_46.0850_6.7233.json,custom
46.084815,6.724631,ov_auberge_de_chantemerle_46.0848_6.7246,Auberge de Chantemerle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/auberge_de_chantemerle_46.0848_6.7246.json,custom
46.088657,6.715977,ov_l_ours_bleu_restaurant_46.0887_6.7160,L'Ours Bleu Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/lours_bleu_restaurant_46.0887_6.7160.json,custom
46.089370,6.706679,ov_l_accueil_savoyard_46.0894_6.7067,L'Accueil Savoyard,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/laccueil_savoyard_46.0894_6.7067.json,custom
46.072536,6.701017,ov_la_reposette_46.0725_6.7010,La Reposette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/la_reposette_46.0725_6.7010.json,custom
46.149080,6.773864,ov_ferme_auberge_de_fr_terolles_46.1491_6.7739,Ferme Auberge de Fréterolles,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/ferme_auberge_de_frterolles_46.1491_6.7739.json,custom
46.084980,6.723341,osm_natsuki_46.0850_6.7233,Natsuki,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/natsuki_46.0850_6.7233.json,custom
46.039537,6.696623,osm_le_montana_1842_46.0395_6.6966,Le Montana 1842,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_montana_1842_46.0395_6.6966.json,custom
46.054366,6.701577,ov_le_1600_caf__46.0544_6.7016,Le 1600 Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_1600_caf_46.0544_6.7016.json,custom
46.080679,6.714973,ov_bar_de_la_piscine_46.0807_6.7150,Bar de la piscine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/bar_de_la_piscine_46.0807_6.7150.json,custom
46.076596,6.718586,ov_le_kern_samo_ns_46.0766_6.7186,Le Kern Samoëns,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_kern_samons_46.0766_6.7186.json,custom
46.081192,6.726205,ov_evil_monkey_pub_46.0812_6.7262,Evil Monkey Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/evil_monkey_pub_46.0812_6.7262.json,custom
46.083205,6.727036,ov_le_savoie_46.0832_6.7270,Le Savoie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_savoie_46.0832_6.7270.json,custom
46.082495,6.727148,ov_red_rock_46.0825_6.7271,Red Rock,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/red_rock_46.0825_6.7271.json,custom
46.083237,6.726606,ov_le_samo_ns_bls_46.0832_6.7266,Le Samoëns BLS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_samons_bls_46.0832_6.7266.json,custom
46.083319,6.726664,ov_aux_petits_d_lices_46.0833_6.7267,Aux petits délices,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/aux_petits_dlices_46.0833_6.7267.json,custom
46.083596,6.725371,ov_les_tartines_de_martine_46.0836_6.7254,Les Tartines de Martine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/les_tartines_de_martine_46.0836_6.7254.json,custom
46.083019,6.724616,ov_the_new_clarine_46.0830_6.7246,The New Clarine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/the_new_clarine_46.0830_6.7246.json,custom
46.084098,6.724708,ov_the_place_2_be_46.0841_6.7247,The Place 2 Be,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/the_place_2_be_46.0841_6.7247.json,custom
46.084246,6.724428,ov_bar_la_chemin_e_46.0842_6.7244,Bar La Cheminée,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/bar_la_chemine_46.0842_6.7244.json,custom
46.084363,6.724202,ov_le_nez_en_l_air_46.0844_6.7242,Le Nez en l'Air,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/le_nez_en_lair_46.0844_6.7242.json,custom
46.083053,6.723499,ov_the_white_wolf_46.0831_6.7235,The White Wolf,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/the_white_wolf_46.0831_6.7235.json,custom
46.064113,6.699064,ov_grand_cret_46.0641_6.6991,Grand Cret,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/grand_cret_46.0641_6.6991.json,custom
46.079421,6.714780,ov_espace_le_bois_aux_dames_46.0794_6.7148,Espace Le Bois aux Dames,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/espace_le_bois_aux_dames_46.0794_6.7148.json,custom
46.076912,6.718706,ov_2_ski_fly_46.0769_6.7187,2 Ski Fly,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/2_ski_fly_46.0769_6.7187.json,custom
46.083823,6.725272,ov_zigzag_ski_school_samo_ns_46.0838_6.7253,Zigzag Ski School Samoëns,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/zigzag_ski_school_samons_46.0838_6.7253.json,custom
46.083789,6.725448,ov_samo_ns_ski_motion_46.0838_6.7254,Samoëns Ski Motion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/samons_ski_motion_46.0838_6.7254.json,custom
46.081225,6.724205,ov_ski_club_samo_ns_46.0812_6.7242,Ski Club Samoëns,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/ski_club_samons_46.0812_6.7242.json,custom
46.083269,6.724782,ov_skisession_46.0833_6.7248,Skisession,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/skisession_46.0833_6.7248.json,custom
46.082564,6.723464,ov_esf_samo_ns_46.0826_6.7235,Esf Samoëns,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/esf_samons_46.0826_6.7235.json,custom
46.084757,6.720998,ov_river_bowl_46.0848_6.7210,River Bowl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/river_bowl_46.0848_6.7210.json,custom
46.086120,6.721640,ov_joux_plane_46.0861_6.7216,Joux Plane,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/joux_plane_46.0861_6.7216.json,custom
46.071122,6.705185,ov_ccgpf_46.0711_6.7052,Ccgpf,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/ccgpf_46.0711_6.7052.json,custom
46.107420,6.593270,ov_m_diath_que_municipale_de_samo_ns_46.1074_6.5933,Médiathèque municipale de Samoëns,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/samons/pages/mdiathque_municipale_de_samons_46.1074_6.5933.json,custom
