# lat,lng,id,name,building_type,type,url,page_type
# serralunga_dalba -- restaurants
44.594320,7.999736,ov_la_rei_natura_by_michelangelo_mammoliti_44.5943_7.9997,La Rei Natura by Michelangelo Mammoliti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/la_rei_natura_by_michelangelo_mammoliti_44.5943_7.9997.json,custom
44.611033,8.000570,ov_vinoteca_centro_storico_44.6110_8.0006,Vinoteca Centro Storico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/vinoteca_centro_storico_44.6110_8.0006.json,custom
44.611371,8.001376,ov_trattoria_cascina_schiavenza_44.6114_8.0014,Trattoria Cascina Schiavenza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/trattoria_cascina_schiavenza_44.6114_8.0014.json,custom
44.610204,8.000228,ov_osteria_tre_case_44.6102_8.0002,Osteria Tre case,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/osteria_tre_case_44.6102_8.0002.json,custom
44.618610,7.993726,ov_la_rosa_dei_vini_44.6186_7.9937,La Rosa dei Vini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/la_rosa_dei_vini_44.6186_7.9937.json,custom
44.626840,7.993807,ov_ristorante_del_castello_44.6268_7.9938,Ristorante del Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/ristorante_del_castello_44.6268_7.9938.json,custom
44.627529,7.993122,ov_trattoria_del_castello_44.6275_7.9931,Trattoria del Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/trattoria_del_castello_44.6275_7.9931.json,custom
44.638375,7.988865,ov_guido_ristorante_44.6384_7.9889,Guido Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/guido_ristorante_44.6384_7.9889.json,custom
44.638413,7.986754,ov_osteria_disguido_44.6384_7.9868,Osteria Disguido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/osteria_disguido_44.6384_7.9868.json,custom
44.638139,7.986494,ov_ristorante_villa_contessa_rosa_44.6381_7.9865,Ristorante Villa Contessa Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/ristorante_villa_contessa_rosa_44.6381_7.9865.json,custom
44.609649,8.000418,osm_trattoria_italia_44.6096_8.0004,Trattoria Italia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/serralunga_dalba/pages/trattoria_italia_44.6096_8.0004.json,custom
