# lat,lng,id,name,building_type,type,url,page_type
# strambino -- restaurants
45.398688,7.895005,ov_ristorante_marocco_45.3987_7.8950,Ristorante Marocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/ristorante_marocco_45.3987_7.8950.json,custom
45.380306,7.879104,ov_rista_45.3803_7.8791,Rista,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/rista_45.3803_7.8791.json,custom
45.380721,7.882940,ov_ristorante_pizzeria_vittoria_45.3807_7.8829,Ristorante Pizzeria Vittoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/ristorante_pizzeria_vittoria_45.3807_7.8829.json,custom
45.383659,7.878680,ov_bistrot_take_away_45.3837_7.8787,Bistrot take away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/bistrot_take_away_45.3837_7.8787.json,custom
45.383357,7.881935,ov_infinite_dolcezze_45.3834_7.8819,Infinite dolcezze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/infinite_dolcezze_45.3834_7.8819.json,custom
45.382120,7.883501,ov_orto_ristorante_gastronomia_frutta_e_ver_45.3821_7.8835,Orto Ristorante Gastronomia Frutta e Verdura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/orto_ristorante_gastronomia_frutta_e_ver_45.3821_7.8835.json,custom
45.382141,7.883114,ov_bar_ristorante_faga_45.3821_7.8831,Bar Ristorante Faga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/bar_ristorante_faga_45.3821_7.8831.json,custom
45.382666,7.887309,ov_phoenix_magazin_alimentar_romanesc_45.3827_7.8873,Phoenix Magazin Alimentar Romanesc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/phoenix_magazin_alimentar_romanesc_45.3827_7.8873.json,custom
45.383006,7.885151,ov_pizzeria_ristorante_cappello_verde_45.3830_7.8852,Pizzeria Ristorante Cappello Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/pizzeria_ristorante_cappello_verde_45.3830_7.8852.json,custom
45.380056,7.883955,ov_the_black_calla_45.3801_7.8840,The Black Calla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/the_black_calla_45.3801_7.8840.json,custom
45.377060,7.879900,ov_cuocaperamore_45.3771_7.8799,Cuocaperamore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/cuocaperamore_45.3771_7.8799.json,custom
45.375213,7.906050,ov_bistro_ristorante_tipico_canavese_45.3752_7.9061,Bistro Ristorante Tipico Canavese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/bistro_ristorante_tipico_canavese_45.3752_7.9061.json,custom
45.382863,7.885087,osm_il_cappello_verde_45.3829_7.8851,Il Cappello Verde,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/il_cappello_verde_45.3829_7.8851.json,custom
45.375151,7.906161,osm_ristorante_bistr__45.3752_7.9062,Ristorante Bistrò,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/ristorante_bistr_45.3752_7.9062.json,custom
45.383545,7.878785,osm_ristorante_c_era_una_volta_45.3835_7.8788,Ristorante C'era Una Volta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/ristorante_cera_una_volta_45.3835_7.8788.json,custom
45.396966,7.884273,osm_la_barbatella_45.3970_7.8843,La Barbatella,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/la_barbatella_45.3970_7.8843.json,custom
45.398696,7.895070,osm_ristorante_bar_marocco_45.3987_7.8951,Ristorante Bar Marocco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/strambino/pages/ristorante_bar_marocco_45.3987_7.8951.json,custom
