# lat,lng,id,name,building_type,type,url,page_type
# Venasca -- Tutti
44.564318,7.404282,ov_pizzeria_ristorante_del_marchesato_44.5643_7.4043,Pizzeria Ristorante del Marchesato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/pizzeria_ristorante_del_marchesato_44.5643_7.4043.json,custom
44.561677,7.396144,ov_trattoria_del_commercio_44.5617_7.3961,Trattoria del Commercio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/trattoria_del_commercio_44.5617_7.3961.json,custom
44.562101,7.396404,ov_pizzeria_la_malcontenta_44.5621_7.3964,Pizzeria La Malcontenta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/pizzeria_la_malcontenta_44.5621_7.3964.json,custom
44.561980,7.396832,ov_ristorante_la_terrazza_44.5620_7.3968,Ristorante La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/ristorante_la_terrazza_44.5620_7.3968.json,custom
44.562403,7.397461,ov_bistrot_fume_44.5624_7.3975,Bistrot Fume,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/bistrot_fume_44.5624_7.3975.json,custom
44.542462,7.397317,ov_ristorante_lo_chalet_44.5425_7.3973,Ristorante Lo Chalet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/ristorante_lo_chalet_44.5425_7.3973.json,custom
44.539981,7.394648,ov_bric_bike_grill_44.5400_7.3946,Bric Bike Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/bric_bike_grill_44.5400_7.3946.json,custom
45.111785,9.156514,ov_la_ca__vecchia__ristorante_familiare_e_b_45.1118_9.1565,"La Ca' Vecchia, ristorante familiare e B&B",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/la_ca_vecchia_ristorante_familiare_e_bb_45.1118_9.1565.json,custom
44.561749,7.395451,ov_crystal_cafe_44.5617_7.3955,Crystal Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/crystal_cafe_44.5617_7.3955.json,custom
44.562241,7.397182,ov_birreria_special_snc_44.5622_7.3972,Birreria Special Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/birreria_special_snc_44.5622_7.3972.json,custom
44.563180,7.398046,ov_mammut_mountain_gym_44.5632_7.3980,Mammut Mountain Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/mammut_mountain_gym_44.5632_7.3980.json,custom
44.561846,7.394792,ov_ski_klinik_44.5618_7.3948,Ski KliniK,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/ski_klinik_44.5618_7.3948.json,custom
44.562525,7.395218,ov_la_fabbrica_dei_suoni_44.5625_7.3952,La Fabbrica Dei Suoni,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/la_fabbrica_dei_suoni_44.5625_7.3952.json,custom
44.562763,7.397183,osm_poste_italiane_44.5628_7.3972,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/venasca/pages/poste_italiane_44.5628_7.3972.json,custom
