# lat,lng,id,name,building_type,type,url,page_type
# Vinovo -- Tutti
44.987046,7.620795,ov_la_piadineria_44.9870_7.6208,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/la_piadineria_44.9870_7.6208.json,custom
44.982370,7.620635,ov_pizzikotto_44.9824_7.6206,Pizzikotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/pizzikotto_44.9824_7.6206.json,custom
44.982219,7.620604,ov_tomato_pizza_44.9822_7.6206,Tomato Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/tomato_pizza_44.9822_7.6206.json,custom
44.982298,7.620164,ov_va_bin_potato_44.9823_7.6202,Va bin Potato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/va_bin_potato_44.9823_7.6202.json,custom
44.982580,7.615779,ov_la_piadineria_44.9826_7.6158,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/la_piadineria_44.9826_7.6158.json,custom
44.982167,7.620484,ov_la_caveja_piadineria_44.9822_7.6205,La Caveja Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/la_caveja_piadineria_44.9822_7.6205.json,custom
44.981885,7.620648,ov_machapok__mondojuve_44.9819_7.6206,Machapokè Mondojuve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/machapok_mondojuve_44.9819_7.6206.json,custom
44.974719,7.629365,ov_ristorante_pizzeria_la_locanda_dello_spo_44.9747_7.6294,Ristorante Pizzeria La Locanda dello Sportivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/ristorante_pizzeria_la_locanda_dello_spo_44.9747_7.6294.json,custom
44.973012,7.616147,ov_corcovado_44.9730_7.6161,Corcovado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/corcovado_44.9730_7.6161.json,custom
44.974791,7.622247,ov_king_s_ristorante_pizzeria_44.9748_7.6222,King's Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vinovo/pages/kings_ristorante_pizzeria_44.9748_7.6222.json,custom
