# lat,lng,id,name,building_type,type,url,page_type
# Volpiano -- Tutti
45.199528,7.774970,ov_nuova_l_a_m_p_srl_45.1995_7.7750,Nuova L A M P SRL,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/nuova_l_a_m_p_srl_45.1995_7.7750.json,custom
45.204539,7.779719,ov_centro_di_rieducazione_posturale_e_motor_45.2045_7.7797,Centro di Rieducazione Posturale e Motoria - Fisioterapia e ,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/centro_di_rieducazione_posturale_e_motor_45.2045_7.7797.json,custom
45.203386,7.777495,ov_ospedale_g__arnaud_45.2034_7.7775,Ospedale G. Arnaud,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/ospedale_g_arnaud_45.2034_7.7775.json,custom
45.177055,7.773740,ov_la_lenza_45.1771_7.7737,La Lenza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/la_lenza_45.1771_7.7737.json,custom
45.183166,7.769277,ov_ciccone_bistr__45.1832_7.7693,Ciccone Bistrò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/ciccone_bistr_45.1832_7.7693.json,custom
45.190080,7.795170,ov_hotel_verdina_45.1901_7.7952,Hotel Verdina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/hotel_verdina_45.1901_7.7952.json,custom
45.194205,7.775025,ov_ristorante_il_manuale2_45.1942_7.7750,Ristorante IL MANUALE2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/ristorante_il_manuale2_45.1942_7.7750.json,custom
45.194340,7.795498,ov_ristorante_pizzeria_la_rotonda_45.1943_7.7955,Ristorante Pizzeria La Rotonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/ristorante_pizzeria_la_rotonda_45.1943_7.7955.json,custom
45.199341,7.774526,ov_nuova_sharm_45.1993_7.7745,Nuova Sharm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/nuova_sharm_45.1993_7.7745.json,custom
45.199925,7.782759,ov_bar_roma_45.1999_7.7828,Bar Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/bar_roma_45.1999_7.7828.json,custom
45.196297,7.788669,ov_verve_lounge_garden_45.1963_7.7887,Verve Lounge Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/verve_lounge_garden_45.1963_7.7887.json,custom
45.203799,7.779568,ov_a_casa_mia_trattoria_45.2038_7.7796,A casa mia Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/a_casa_mia_trattoria_45.2038_7.7796.json,custom
45.202736,7.775456,ov_i_love_pizza_45.2027_7.7755,I love pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/i_love_pizza_45.2027_7.7755.json,custom
45.202966,7.787125,ov_dal_ciccio_45.2030_7.7871,Dal Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/dal_ciccio_45.2030_7.7871.json,custom
45.200316,7.773824,ov_capperi_che_pizza_45.2003_7.7738,Capperi Che Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/capperi_che_pizza_45.2003_7.7738.json,custom
45.201052,7.779426,ov_va_bin_45.2011_7.7794,Va Bin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/va_bin_45.2011_7.7794.json,custom
45.201124,7.782770,ov_la_tartaruga_45.2011_7.7828,La Tartaruga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/la_tartaruga_45.2011_7.7828.json,custom
45.202431,7.778197,ov_ristorante_pizzeria_santa_irini_45.2024_7.7782,Ristorante Pizzeria Santa Irini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/ristorante_pizzeria_santa_irini_45.2024_7.7782.json,custom
45.202482,7.778747,ov_ristorante_pizzeria_la_volpe_volpiano_45.2025_7.7787,Ristorante Pizzeria La Volpe Volpiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/ristorante_pizzeria_la_volpe_volpiano_45.2025_7.7787.json,custom
45.201894,7.776383,osm_pizzeria_nuova_sharm_volpiano_45.2019_7.7764,Pizzeria Nuova Sharm Volpiano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/pizzeria_nuova_sharm_volpiano_45.2019_7.7764.json,custom
45.190575,7.774253,ov_american_and_coffee_store_45.1906_7.7743,American and coffee store,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/american_and_coffee_store_45.1906_7.7743.json,custom
45.193880,7.796962,ov_la_rotonda_bar_caffetteria_45.1939_7.7970,La Rotonda Bar Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/la_rotonda_bar_caffetteria_45.1939_7.7970.json,custom
45.194550,7.759055,ov_il_vecchio_bar_pina_45.1945_7.7591,Il vecchio BAR PINA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/il_vecchio_bar_pina_45.1945_7.7591.json,custom
45.199450,7.774880,ov_bar_ruvej_45.1994_7.7749,Bar Ruvej,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/bar_ruvej_45.1994_7.7749.json,custom
45.196809,7.788323,ov_the_victory_cafe_ristobar_45.1968_7.7883,The Victory Cafe Ristobar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/the_victory_cafe_ristobar_45.1968_7.7883.json,custom
45.203564,7.779254,ov_barcentocinque_volpiano_cocktail_restaur_45.2036_7.7793,BarCentocinque Volpiano Cocktail Restaurant happy hours,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/barcentocinque_volpiano_cocktail_restaur_45.2036_7.7793.json,custom
45.202851,7.777947,ov_aroma_caffe_volpiano_45.2029_7.7779,Aroma Caffe Volpiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/aroma_caffe_volpiano_45.2029_7.7779.json,custom
45.200250,7.774809,ov_caffe_carlo_alberto_45.2002_7.7748,Caffe Carlo Alberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/caffe_carlo_alberto_45.2002_7.7748.json,custom
45.201094,7.785585,ov_novab__bar_45.2011_7.7856,Novabè Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/novab_bar_45.2011_7.7856.json,custom
45.201151,7.779497,ov_papillon_caffetteria_pasticceria_45.2012_7.7795,Papillon Caffetteria Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/papillon_caffetteria_pasticceria_45.2012_7.7795.json,custom
45.201654,7.776935,ov_caffe_del_centro_45.2017_7.7769,Caffe del Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/caffe_del_centro_45.2017_7.7769.json,custom
45.181402,7.769199,ov_crossfit_blackfox_45.1814_7.7692,CrossFit BlackFox,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/volpiano/pages/crossfit_blackfox_45.1814_7.7692.json,custom
