# lat,lng,id,name,building_type,type
# Corigliano-Rossano -- Tutti
39.596254,16.637632,ov_anatomia_patologica_rossano_italia_39.5963_16.6376,Anatomia Patologica Rossano Italia,HOSPITAL,hospital
39.597014,16.637309,ov_centro_trasfusionale_rossano_39.5970_16.6373,Centro Trasfusionale Rossano,HOSPITAL,hospital
39.591148,16.521047,ov_ospedale_civile_guido_compagna_39.5911_16.5210,Ospedale Civile Guido Compagna,HOSPITAL,hospital
39.591080,16.520732,ov_pronto_soccorso_corigliano_39.5911_16.5207,pronto soccorso Corigliano,HOSPITAL,hospital
39.600000,16.516700,ov_ospedale_sibaritide_39.6000_16.5167,Ospedale Sibaritide,HOSPITAL,hospital
39.597453,16.657511,ov_ristorante_vincent_39.5975_16.6575,Ristorante Vincent,RESTAURANT,ristorante
39.615300,16.678220,ov_campeggio_pitagora_ristorante_pizzeria_39.6153_16.6782,campeggio Pitagora ristorante pizzeria,RESTAURANT,ristorante
39.596251,16.700550,ov_il_pucchietto_39.5963_16.7005,Il Pucchietto,RESTAURANT,ristorante
39.594976,16.730102,ov_armania_agriturismo_39.5950_16.7301,Armania Agriturismo,RESTAURANT,ristorante
39.618390,16.707962,ov_il_ritrovo_delle_ninfe_39.6184_16.7080,Il Ritrovo delle Ninfe,RESTAURANT,ristorante
39.616326,16.683582,ov_pizzeria_ristorante_la_capannina_39.6163_16.6836,Pizzeria Ristorante La Capannina,RESTAURANT,ristorante
39.620658,16.685123,ov_lido_il_corsaro_39.6207_16.6851,Lido il Corsaro,RESTAURANT,ristorante
39.620022,16.677627,ov_alici_miei_39.6200_16.6776,Alici Miei,RESTAURANT,ristorante
39.618325,16.679555,ov_aurora_ristorante_pizzeria_paninoteca_39.6183_16.6796,Aurora ristorante-pizzeria-paninoteca,RESTAURANT,ristorante
39.701758,16.525699,ov_lido_aurora_39.7018_16.5257,Lido Aurora,RESTAURANT,ristorante
39.691900,16.520259,ov_miramare_ricevimenti_39.6919_16.5203,Miramare Ricevimenti,RESTAURANT,ristorante
39.658276,16.536539,ov_lido_il_corallo_39.6583_16.5365,Lido il Corallo,RESTAURANT,ristorante
39.657100,16.537268,ov_ristorante_pizzeria_za_mar__39.6571_16.5373,Ristorante Pizzeria Za Marì,RESTAURANT,ristorante
39.654984,16.539409,ov_l_ancora_39.6550_16.5394,L'Ancora,RESTAURANT,ristorante
39.654766,16.535245,ov_pizzeria_il_ranch_39.6548_16.5352,Pizzeria IL RANCH,RESTAURANT,ristorante
39.653107,16.539501,ov_il_ritrovo_39.6531_16.5395,Il Ritrovo,RESTAURANT,ristorante
39.649900,16.539225,ov_le_barrique_39.6499_16.5392,Le barrique,RESTAURANT,ristorante
39.648795,16.536781,ov_pizzeria_il_portico_39.6488_16.5368,Pizzeria Il Portico,RESTAURANT,ristorante
39.649749,16.535183,ov_rocco_s_pizza_39.6497_16.5352,Rocco's Pizza,RESTAURANT,ristorante
39.649787,16.535333,ov_il_narciso_39.6498_16.5353,Il Narciso,RESTAURANT,ristorante
39.660039,16.513135,ov_griglieria_la_pietra_39.6600_16.5131,Griglieria La Pietra,RESTAURANT,ristorante
39.660821,16.513260,ov_fralex_restaurant_39.6608_16.5133,Fralex Restaurant,RESTAURANT,ristorante
39.672290,16.508378,ov_mcdonald_s_39.6723_16.5084,McDonald's,RESTAURANT,ristorante
39.674301,16.509656,ov_ristorante_5gradini_39.6743_16.5097,Ristorante 5Gradini,RESTAURANT,ristorante
39.666021,16.434123,ov_magico_rosso_39.6660_16.4341,Magico Rosso,RESTAURANT,ristorante
39.665011,16.448013,ov_al_punto_giusto_da_luca_39.6650_16.4480,Al Punto Giusto da Luca,RESTAURANT,ristorante
