# lat,lng,id,name,building_type,type
# foggia -- hospitals
41.469898,15.539422,osm_dipartimento_dipendenze_patologiche_41.4699_15.5394,Dipartimento Dipendenze Patologiche,hospital,hospital
41.381760,15.644430,ov_neuropsichiatria_infantile_e_dell_adoles_41.3818_15.6444,Neuropsichiatria Infantile e dell'Adolescenza Policlinico Fo,HOSPITAL,hospital
41.444447,15.545317,ov_studio_medico_polispecialistico______b_m_41.4444_15.5453,Studio Medico Polispecialistico      B-MED srl,HOSPITAL,hospital
41.445806,15.544695,ov_gruppo_telesforo_41.4458_15.5447,Gruppo Telesforo,HOSPITAL,hospital
41.443631,15.544528,ov_nuova_clinica_san_francesco_srl_41.4436_15.5445,Nuova Clinica San Francesco SRL,HOSPITAL,hospital
41.450004,15.569004,ov_riabilita___foggia_41.4500_15.5690,Riabilita - Foggia,HOSPITAL,hospital
41.463102,15.552229,ov_studio_radiodiagnostico_dei_dottori_troi_41.4631_15.5522,Studio Radiodiagnostico dei Dottori Troia,HOSPITAL,hospital
41.461668,15.537090,ov_dott_ssa_logopedista_rita_savino_41.4617_15.5371,Dott.ssa Logopedista Rita Savino,HOSPITAL,hospital
41.454760,15.554830,ov_sergiotaggio_laboratorio_odontotecnico_41.4548_15.5548,SergioTaggio Laboratorio Odontotecnico,HOSPITAL,hospital
41.454461,15.544468,ov_ospedale_colonnello_d_avanzo_41.4545_15.5445,Ospedale Colonnello D'avanzo,HOSPITAL,hospital
41.456989,15.535361,ov_chirurgia_toracica_foggia___italia_41.4570_15.5354,Chirurgia Toracica Foggia - Italia,HOSPITAL,hospital
41.456355,15.532207,ov_ospedale_foggia_41.4564_15.5322,Ospedale Foggia,HOSPITAL,hospital
41.456660,15.525896,ov_centro_trasfusionale_41.4567_15.5259,Centro Trasfusionale,HOSPITAL,hospital
41.456145,15.524966,ov_reparto_nefrologia_41.4561_15.5250,Reparto nefrologia,HOSPITAL,hospital
41.456130,15.524288,ov_gastroenterologia___4_piano_41.4561_15.5243,Gastroenterologia - 4 piano,HOSPITAL,hospital
41.457972,15.524602,ov_ospedale_riuniti_reparto_maternit__41.4580_15.5246,Ospedale Riuniti Reparto Maternità,HOSPITAL,hospital
41.457675,15.528051,ov_ospedali_riuniti___foggia_41.4577_15.5281,Ospedali Riuniti - Foggia,HOSPITAL,hospital
41.458712,15.536054,ov_medical_center_foggia_41.4587_15.5361,Medical Center Foggia,HOSPITAL,hospital
41.460190,15.533840,ov_ospedale_riuniti_di_foggia_41.4602_15.5338,Ospedale Riuniti di Foggia,HOSPITAL,hospital
41.467723,15.526947,ov_universo_salute_opera_don_uva_41.4677_15.5269,Universo Salute Opera Don Uva,HOSPITAL,hospital
41.466110,15.544260,ov_irccs_casa_sollievo_della_sofferenza_41.4661_15.5443,IRCCS Casa Sollievo della Sofferenza,HOSPITAL,hospital
41.469430,15.538020,ov_centro_diurno_pampuri_foggia_41.4694_15.5380,Centro Diurno Pampuri Foggia,HOSPITAL,hospital
