# lat,lng,id,name,building_type,type
# Gallipoli — Tutti i POI
40.055857,17.991846,osm_kyoto_sushi_40.0559_17.9918,Kyoto Sushi,ristorante,ristorante
40.056010,17.982307,osm_mojm__40.0560_17.9823,Mojmò,ristorante,ristorante
40.055840,17.990898,osm_nonno_picci_40.0558_17.9909,Nonno Picci,ristorante,ristorante
40.053046,17.976467,osm_santav__by_tequila_40.0530_17.9765,Santavè by Tequila,ristorante,ristorante
40.056103,17.989749,osm_facula_40.0561_17.9897,Facula,ristorante,ristorante
40.052734,17.974835,osm_ritr__restaurant_40.0527_17.9748,Ritrò Restaurant,ristorante,ristorante
40.066930,18.005094,osm_ristorante_vesuvio_40.0669_18.0051,Ristorante Vesuvio,ristorante,ristorante
40.073047,18.009537,osm_la_masseria_pizza_restaurant_40.0730_18.0095,La Masseria Pizza Restaurant,ristorante,ristorante
40.055705,17.990423,osm_l_oste_pizza_40.0557_17.9904,L'Oste Pizza,ristorante,ristorante
40.052023,18.004568,osm_first_40.0520_18.0046,First,ristorante,ristorante
40.055542,17.992302,osm_pescheria_con_cottura_40.0555_17.9923,Pescheria con Cottura,ristorante,ristorante
40.055652,17.981114,osm_seno_del_canneto_40.0557_17.9811,Seno del Canneto,ristorante,ristorante
40.054879,17.980928,osm_il_cartoccio_40.0549_17.9809,Il Cartoccio,ristorante,ristorante
40.052841,17.975003,osm_amu_fish_restaurant___store_40.0528_17.9750,AMU Fish Restaurant & Store,ristorante,ristorante
40.085772,18.013471,osm_kal__40.0858_18.0135,Kalè,ristorante,ristorante
40.056117,17.989369,osm_lievita_72_40.0561_17.9894,Lievita 72,ristorante,ristorante
40.066339,18.013492,osm_agriturismo_ristorante_calamate_40.0663_18.0135,Agriturismo Ristorante Calamate,ristorante,ristorante
40.055556,17.977599,osm_ristorante_marea_40.0556_17.9776,Ristorante Marea,ristorante,ristorante
40.055670,17.978257,osm_la_corte_d_angio__40.0557_17.9783,La Corte d'Angio',ristorante,ristorante
40.054570,17.974974,osm_matre_40.0546_17.9750,Matre,ristorante,ristorante
40.054148,17.975550,osm_l_angolo_blu_40.0541_17.9755,L'Angolo Blu,ristorante,ristorante
40.055987,17.984209,osm_dolce_vita_40.0560_17.9842,Dolce Vita,ristorante,ristorante
40.046936,18.005286,osm_lido_san_giovanni_40.0469_18.0053,Lido San Giovanni,ristorante,ristorante
40.054327,17.976346,osm_scafud_mare_40.0543_17.9763,Scafud Mare,ristorante,ristorante
40.001373,18.030391,osm_trattoria_pizzeria_casa_l_ari__40.0014_18.0304,Trattoria Pizzeria Casa L'Ariò,ristorante,ristorante
40.111362,18.007825,osm_scapricciatiello_40.1114_18.0078,Scapricciatiello,ristorante,ristorante
40.111181,18.008080,osm_la_maruzzella_40.1112_18.0081,La Maruzzella,ristorante,ristorante
40.052877,17.992228,osm_bar_la_rotonda_40.0529_17.9922,Bar La Rotonda,ristorante,ristorante
