# lat,lng,id,name,building_type,type
# novoli -- bars_cafes
40.374320,18.042930,ov_undici_dodici_40.3743_18.0429,Undici Dodici,RESTAURANT,bar_cafe
40.374160,18.041418,ov_area_51___novoli_40.3742_18.0414,Area 51 - Novoli,RESTAURANT,bar_cafe
40.373612,18.044380,ov_il_covo_40.3736_18.0444,IL COVO,RESTAURANT,bar_cafe
40.376902,18.050656,ov_bar_commercio_40.3769_18.0507,Bar Commercio,RESTAURANT,bar_cafe
40.378578,18.044164,ov_garden_caf__40.3786_18.0442,Garden Café,RESTAURANT,bar_cafe
40.377752,18.049063,ov_caffetteria_agor__40.3778_18.0491,Caffetteria Agorà,RESTAURANT,bar_cafe
40.381458,18.041944,ov_london_cafe_40.3815_18.0419,London Cafe,RESTAURANT,bar_cafe
40.380727,18.047905,ov_debo_caffetteria_40.3807_18.0479,Debo Caffetteria,RESTAURANT,bar_cafe
40.380730,18.047847,ov_il_golosone_40.3807_18.0478,Il golosone,RESTAURANT,bar_cafe
40.380245,18.047621,ov_life_40.3802_18.0476,Life,RESTAURANT,bar_cafe
40.380058,18.043065,ov_cafe_noir_40.3801_18.0431,Cafe Noir,RESTAURANT,bar_cafe
