# lat,lng,id,name,building_type,type
# rotonda -- bars_cafes
39.949210,16.039669,ov_birreria_del_corso_39.9492_16.0397,Birreria Del Corso,RESTAURANT,bar_cafe
39.949033,16.039515,ov_l_altro_bar_39.9490_16.0395,L'Altro Bar,RESTAURANT,bar_cafe
39.952895,16.041348,ov_sartoria_martini_39.9529_16.0413,Sartoria Martini,RESTAURANT,bar_cafe
39.954498,16.039924,ov_caffe_lidia_39.9545_16.0399,Caffe Lidia,RESTAURANT,bar_cafe
39.954449,16.039997,ov_bar_caff__2001_39.9544_16.0400,Bar Caffè 2001,RESTAURANT,bar_cafe
39.954354,16.040394,ov_girul__bar_39.9544_16.0404,Girulá Bar,RESTAURANT,bar_cafe
39.953926,16.039384,ov_pub_mammut_club_39.9539_16.0394,Pub Mammut Club,RESTAURANT,bar_cafe
39.954207,16.039762,ov_gran_caffe_39.9542_16.0398,Gran Caffe,RESTAURANT,bar_cafe
39.953587,16.037420,ov_bar_nerulum_39.9536_16.0374,Bar Nerulum,RESTAURANT,bar_cafe
39.962260,16.041133,ov__mbedicoast_39.9623_16.0411,'Mbedicoast,RESTAURANT,bar_cafe
39.961893,16.040951,osm_birrificio__mbedicoast_39.9619_16.0410,Birrificio 'Mbedicoast,bar_cafe,bar_cafe
