# lat,lng,id,name,building_type,type
# san_pancrazio_salentino -- bars_cafes
40.412482,17.835941,ov_bar_nuovo_millennio_40.4125_17.8359,Bar Nuovo Millennio,RESTAURANT,bar_cafe
40.415220,17.839284,ov_bar_arrocco_40.4152_17.8393,Bar Arrocco,RESTAURANT,bar_cafe
40.410181,17.835442,ov_km_0_caf___40.4102_17.8354,Km-0 Cafè_,RESTAURANT,bar_cafe
40.421840,17.840790,ov_s_c_caf__40.4218_17.8408,S&C CAFÈ,RESTAURANT,bar_cafe
40.418318,17.838547,ov_bar_jolly_40.4183_17.8385,Bar Jolly,RESTAURANT,bar_cafe
40.417655,17.838627,ov_lo_spiazzo_think___drink_40.4177_17.8386,LO SPIAZZO Think & Drink,RESTAURANT,bar_cafe
40.416811,17.838854,ov_bar_cialdini_caf__40.4168_17.8389,Bar Cialdini Cafè,RESTAURANT,bar_cafe
40.418164,17.833750,ov_aleph_microbirrificio_40.4182_17.8337,Aleph Microbirrificio,RESTAURANT,bar_cafe
40.419589,17.837257,ov_epikaffe_40.4196_17.8373,Epikaffe,RESTAURANT,bar_cafe
40.419214,17.838527,ov_caff__letterario_40.4192_17.8385,Caffè Letterario,RESTAURANT,bar_cafe
40.417656,17.826358,ov_demibeer_40.4177_17.8264,Demibeer,RESTAURANT,bar_cafe
40.419175,17.824015,ov_resaca_cocktail___groove_40.4192_17.8240,RESACA Cocktail & Groove,RESTAURANT,bar_cafe
40.417252,17.823999,ov_barcaputo_alterego_40.4173_17.8240,BarCaputo AlterEgo,RESTAURANT,bar_cafe
40.418613,17.838835,osm_strix_pub_40.4186_17.8388,Strix Pub,bar_cafe,bar_cafe
40.416792,17.840133,osm_fuoritempo_lounge_bar_40.4168_17.8401,Fuoritempo Lounge Bar,bar_cafe,bar_cafe
