# lat,lng,id,name,building_type,type,url,page_type
# sannicandro_di_bari -- bars_cafes.csv
40.998660,16.792195,ov_bar_volpe_40.9987_16.7922,Bar Volpe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/bar_volpe_40.9987_16.7922.json,custom
41.000159,16.799681,ov_grande_lounge_bar_41.0002_16.7997,Grande Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/grande_lounge_bar_41.0002_16.7997.json,custom
40.997933,16.799383,ov_taberna_miraflores_40.9979_16.7994,Taberna Miraflores,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/taberna_miraflores_40.9979_16.7994.json,custom
41.000879,16.798926,ov_sava_caf__41.0009_16.7989,SaVa Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/sava_caf_41.0009_16.7989.json,custom
41.000541,16.799052,ov_mera_cafe_41.0005_16.7991,Mera Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/mera_cafe_41.0005_16.7991.json,custom
41.000906,16.798001,ov_bartropical_41.0009_16.7980,BarTropical,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/bartropical_41.0009_16.7980.json,custom
41.000945,16.798680,ov_no_name_pub___more_41.0009_16.7987,No Name Pub & More,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/no_name_pub_more_41.0009_16.7987.json,custom
41.001915,16.794203,ov_corner_caf__41.0019_16.7942,Corner Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/corner_caf_41.0019_16.7942.json,custom
41.003432,16.799914,ov_bar_san_valentino_41.0034_16.7999,Bar San Valentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/bar_san_valentino_41.0034_16.7999.json,custom
41.003514,16.798872,ov_plaza_cafe_41.0035_16.7989,Plaza Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/plaza_cafe_41.0035_16.7989.json,custom
