# lat,lng,id,name,building_type,type,url,page_type
# sconosciuta -- restaurants
41.780071,15.385228,osm_ads_san_trifone_ovest_41.7801_15.3852,AdS San Trifone Ovest,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/ads_san_trifone_ovest_41.7801_15.3852.json,custom
40.481729,15.101010,osm_l_ulivo_40.4817_15.1010,L'Ulivo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/lulivo_40.4817_15.1010.json,custom
41.188823,16.671873,osm_il_porticciolo_41.1888_16.6719,Il Porticciolo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/il_porticciolo_41.1888_16.6719.json,custom
41.918177,15.798118,osm_le_due_ancore_41.9182_15.7981,Le due ancore,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/le_due_ancore_41.9182_15.7981.json,custom
41.722094,16.090920,osm_belvedere_41.7221_16.0909,Belvedere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/belvedere_41.7221_16.0909.json,custom
41.884026,16.176514,osm_skipper_41.8840_16.1765,Skipper,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/skipper_41.8840_16.1765.json,custom
41.883471,16.176758,osm_box_19_41.8835_16.1768,Box 19,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/box_19_41.8835_16.1768.json,custom
41.752687,16.027584,osm_agriturismo_monte_sacro_41.7527_16.0276,Agriturismo Monte Sacro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/agriturismo_monte_sacro_41.7527_16.0276.json,custom
41.266075,15.906702,osm_di_muzio_41.2661_15.9067,Di Muzio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/di_muzio_41.2661_15.9067.json,custom
41.017053,15.374336,osm_al_grillo_d_oro_41.0171_15.3743,Al Grillo d'Oro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/al_grillo_doro_41.0171_15.3743.json,custom
41.765350,15.976594,osm_agriturismo_parco_del_barone_41.7654_15.9766,Agriturismo Parco del Barone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/agriturismo_parco_del_barone_41.7654_15.9766.json,custom
41.711678,15.808401,osm_masseria_agropolis_41.7117_15.8084,Masseria Agropolis,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/masseria_agropolis_41.7117_15.8084.json,custom
41.298515,15.924423,osm_al_solito_posto_41.2985_15.9244,Al Solito Posto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/al_solito_posto_41.2985_15.9244.json,custom
41.296025,15.931624,osm_l_oasi_di_claire_41.2960_15.9316,L'Oasi Di Claire,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/loasi_di_claire_41.2960_15.9316.json,custom
41.259014,15.916479,osm_bowling_41.2590_15.9165,Bowling,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/bowling_41.2590_15.9165.json,custom
40.254264,18.444562,osm_il_confine_40.2543_18.4446,Il Confine,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/il_confine_40.2543_18.4446.json,custom
41.612785,15.887603,osm_ristorante_crysalis_41.6128_15.8876,Ristorante Crysalis,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/ristorante_crysalis_41.6128_15.8876.json,custom
41.172158,16.213597,osm_borgata_troianelli_41.1722_16.2136,Borgata Troianelli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/borgata_troianelli_41.1722_16.2136.json,custom
41.177482,16.031261,osm_tenuta_leone_41.1775_16.0313,Tenuta Leone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/tenuta_leone_41.1775_16.0313.json,custom
40.857052,15.831718,osm_agritur_il_malandrino_40.8571_15.8317,Agritur Il Malandrino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/agritur_il_malandrino_40.8571_15.8317.json,custom
41.230817,16.298870,osm_el_tapas_de_poldo_41.2308_16.2989,El Tapas De Poldo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/el_tapas_de_poldo_41.2308_16.2989.json,custom
41.234825,16.298610,osm_the_old_brewery_41.2348_16.2986,The Old Brewery,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/the_old_brewery_41.2348_16.2986.json,custom
40.262224,16.299381,osm_grillo_40.2622_16.2994,Grillo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/grillo_40.2622_16.2994.json,custom
40.643608,16.048060,osm_ristorante_pizzeria_il_rifugio_40.6436_16.0481,Ristorante Pizzeria Il Rifugio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/ristorante_pizzeria_il_rifugio_40.6436_16.0481.json,custom
41.636228,15.734251,osm_montecatini_41.6362_15.7343,Montecatini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/montecatini_41.6362_15.7343.json,custom
41.780110,15.833761,osm_agriturismo_falcare_41.7801_15.8338,Agriturismo Falcare,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/agriturismo_falcare_41.7801_15.8338.json,custom
41.842669,15.762778,osm_la_fontana_41.8427_15.7628,La Fontana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/la_fontana_41.8427_15.7628.json,custom
41.398945,15.652582,osm_trattoria_bellavista_41.3989_15.6526,Trattoria Bellavista,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/trattoria_bellavista_41.3989_15.6526.json,custom
41.115463,16.872469,osm_pizzeria_joseph_41.1155_16.8725,Pizzeria Joseph,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_joseph_41.1155_16.8725.json,custom
41.108544,16.879084,osm_punto_ristoro_ladisa_41.1085_16.8791,Punto Ristoro Ladisa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/punto_ristoro_ladisa_41.1085_16.8791.json,custom
41.244617,16.490314,osm_mcdonald_s_41.2446_16.4903,McDonald's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/mcdonalds_41.2446_16.4903.json,custom
41.162248,15.258466,osm_agritur_lu_stallier_41.1622_15.2585,Agritur Lu Stallier,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/agritur_lu_stallier_41.1622_15.2585.json,custom
41.249604,16.487975,osm_otium_dei_41.2496_16.4880,Otium Dei,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/otium_dei_41.2496_16.4880.json,custom
41.127588,16.872258,osm_paria_41.1276_16.8723,Paria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/paria_41.1276_16.8723.json,custom
41.267482,16.440473,osm_pizza_e_vino_41.2675_16.4405,Pizza e Vino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizza_e_vino_41.2675_16.4405.json,custom
40.561927,16.504061,osm_il_ritrovo_del_cima_40.5619_16.5041,Il Ritrovo del Cima,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/il_ritrovo_del_cima_40.5619_16.5041.json,custom
41.231555,16.304326,osm_girasole_41.2316_16.3043,Girasole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/girasole_41.2316_16.3043.json,custom
41.235939,16.307355,osm_pizzeria_trinit__41.2359_16.3074,Pizzeria Trinità,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_trinit_41.2359_16.3074.json,custom
41.127695,16.871415,osm_meh__41.1277_16.8714,Meh!,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/meh_41.1277_16.8714.json,custom
41.127913,16.871424,osm_la_parrilla_de_juan_41.1279_16.8714,La parrilla de Juan,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/la_parrilla_de_juan_41.1279_16.8714.json,custom
41.127919,16.872949,osm_terrazza_venezia_41.1279_16.8729,Terrazza Venezia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/terrazza_venezia_41.1279_16.8729.json,custom
40.721844,16.574290,osm_sarni_40.7218_16.5743,Sarni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/sarni_40.7218_16.5743.json,custom
40.019178,16.136929,osm_pizzeria_40.0192_16.1369,Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_40.0192_16.1369.json,custom
39.977381,16.297248,osm_luna_rossa_39.9774_16.2972,Luna Rossa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/luna_rossa_39.9774_16.2972.json,custom
41.231789,16.299981,osm_anna_e_nico_41.2318_16.3000,Anna e Nico,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/anna_e_nico_41.2318_16.3000.json,custom
41.270868,16.426575,osm_pizzeria_dalmazia_41.2709_16.4266,Pizzeria Dalmazia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_dalmazia_41.2709_16.4266.json,custom
40.900781,15.434743,osm_masseria_pietra_mulina_40.9008_15.4347,Masseria Pietra Mulina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/masseria_pietra_mulina_40.9008_15.4347.json,custom
40.903588,15.428026,osm_pizzeria_manhattan_40.9036_15.4280,Pizzeria Manhattan,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_manhattan_40.9036_15.4280.json,custom
39.945082,15.936728,osm_agriturismo_al_verneto_39.9451_15.9367,Agriturismo Al Verneto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/agriturismo_al_verneto_39.9451_15.9367.json,custom
39.955737,15.975472,osm_lao_pizza_39.9557_15.9755,Lao Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/lao_pizza_39.9557_15.9755.json,custom
39.957178,15.970088,osm_palia_s_hotel_ristorante_39.9572_15.9701,Palia's Hotel Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/palias_hotel_ristorante_39.9572_15.9701.json,custom
39.964658,15.936574,osm_taverna_delle_ghiande_39.9647_15.9366,Taverna delle Ghiande,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/taverna_delle_ghiande_39.9647_15.9366.json,custom
40.904683,15.422338,osm_gagliano_40.9047_15.4223,Gagliano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/gagliano_40.9047_15.4223.json,custom
40.904665,15.423075,osm_peccati_di_cola_40.9047_15.4231,Peccati di Cola,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/peccati_di_cola_40.9047_15.4231.json,custom
40.745322,17.730110,osm_lido_sabbia_d_oro_40.7453_17.7301,Lido Sabbia d'Oro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/lido_sabbia_doro_40.7453_17.7301.json,custom
40.351064,17.367194,osm_girasole_40.3511_17.3672,Girasole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/girasole_40.3511_17.3672.json,custom
41.280743,15.934785,osm_bib__41.2807_15.9348,Bibò,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/bib_41.2807_15.9348.json,custom
41.093746,15.593707,osm_autogrill_41.0937_15.5937,Autogrill,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/autogrill_41.0937_15.5937.json,custom
40.524355,15.784147,osm_agriturismo_il_nido_del_falco_40.5244_15.7841,Agriturismo Il nido del Falco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/agriturismo_il_nido_del_falco_40.5244_15.7841.json,custom
41.683349,15.378443,osm_i_ghiottone_41.6833_15.3784,I ghiottone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/i_ghiottone_41.6833_15.3784.json,custom
41.206007,15.559409,osm_medievalis_41.2060_15.5594,Medievalis,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/medievalis_41.2060_15.5594.json,custom
40.036418,16.306035,osm_tre_kartuce_40.0364_16.3060,Tre Kartuce,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/tre_kartuce_40.0364_16.3060.json,custom
40.899492,16.872423,osm_sarni_le_fonti_est_40.8995_16.8724,Sarni Le Fonti Est,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/sarni_le_fonti_est_40.8995_16.8724.json,custom
40.652206,16.607290,osm_agritur_40.6522_16.6073,Agritur,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/agritur_40.6522_16.6073.json,custom
41.749748,16.138512,osm_monte_barone_41.7497_16.1385,Monte Barone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/monte_barone_41.7497_16.1385.json,custom
41.155608,16.412695,osm_pizzeria_zinnan__zinnan__41.1556_16.4127,Pizzeria Zinnanà Zinnanà,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_zinnan_zinnan_41.1556_16.4127.json,custom
41.155281,16.411214,osm_pizzeria_il_convento_41.1553_16.4112,Pizzeria Il Convento,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_il_convento_41.1553_16.4112.json,custom
41.152834,16.413068,osm_pizzeria_agor__41.1528_16.4131,Pizzeria Agorà,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_agor_41.1528_16.4131.json,custom
41.152175,16.414293,osm_new_nexus_41.1522_16.4143,New Nexus,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/new_nexus_41.1522_16.4143.json,custom
41.149371,16.415179,osm_pizzeria_le_coq_41.1494_16.4152,Pizzeria Le Coq,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_le_coq_41.1494_16.4152.json,custom
41.152420,16.410678,osm_pizzeria_zorba_41.1524_16.4107,Pizzeria Zorba,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/pizzeria_zorba_41.1524_16.4107.json,custom
41.153904,16.411448,osm_la_pace_al_volo_41.1539_16.4114,La Pace al volo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/la_pace_al_volo_41.1539_16.4114.json,custom
41.153954,16.411454,osm_la_pace_dei_sensi_41.1540_16.4115,La Pace dei Sensi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/la_pace_dei_sensi_41.1540_16.4115.json,custom
41.153396,16.411327,osm_il_buco_41.1534_16.4113,Il Buco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sconosciuta/pages/il_buco_41.1534_16.4113.json,custom
