# lat,lng,id,name,building_type,type,url,page_type
# niscemi -- gyms
37.147841,14.394478,ov_tiger_school_37.1478_14.3945,Tiger School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/tiger_school_37.1478_14.3945.json,custom
37.149512,14.393506,ov_mg_fitness_club_37.1495_14.3935,MG fitness club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/mg_fitness_club_37.1495_14.3935.json,custom
37.146035,14.396199,ov_studio_chinesioligico_dott__luigi_alario_37.1460_14.3962,Studio Chinesioligico Dott. Luigi Alario,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/studio_chinesioligico_dott_luigi_alario_37.1460_14.3962.json,custom
37.139095,14.398403,ov_asd_power_gym_37.1391_14.3984,Asd power gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/asd_power_gym_37.1391_14.3984.json,custom
37.136450,14.402550,ov_emm3_studio_37.1365_14.4025,EMM3 Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/emm3_studio_37.1365_14.4025.json,custom
37.143274,14.407065,ov_gt_sport_37.1433_14.4071,GT SPORT,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/gt_sport_37.1433_14.4071.json,custom
37.146233,14.406802,ov_one_dance___fitness_37.1462_14.4068,One Dance & Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/one_dance_fitness_37.1462_14.4068.json,custom
37.146216,14.404493,ov_fitness_center_37.1462_14.4045,Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/fitness_center_37.1462_14.4045.json,custom
37.150684,14.448710,ov_centro_equitazione_niscemi_37.1507_14.4487,Centro Equitazione Niscemi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/centro_equitazione_niscemi_37.1507_14.4487.json,custom
37.152657,14.386013,ov_centro_sportivo_pio_la_torre_37.1527_14.3860,Centro sportivo Pio la Torre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/centro_sportivo_pio_la_torre_37.1527_14.3860.json,custom
