# lat,lng,id,name,building_type,type,url,page_type
# San Pietro Clarenza -- Tutti
37.572719,15.024384,ov_parafarmacia_pulvirenti_37.5727_15.0244,Parafarmacia Pulvirenti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/parafarmacia_pulvirenti_37.5727_15.0244.json,custom
37.572013,15.022844,ov_crispizza_pizzeria_37.5720_15.0228,Crispizza pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/crispizza_pizzeria_37.5720_15.0228.json,custom
37.572618,15.025447,ov_pizzeria_clelia_37.5726_15.0254,Pizzeria Clelia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/pizzeria_clelia_37.5726_15.0254.json,custom
37.572614,15.025265,ov_trattoria_da_annuzza_37.5726_15.0253,Trattoria Da Annuzza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/trattoria_da_annuzza_37.5726_15.0253.json,custom
37.572691,15.024401,ov_magic_pizza_37.5727_15.0244,Magic Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/magic_pizza_37.5727_15.0244.json,custom
37.571239,15.018837,ov_pizzeria_al_vecchio_mulino_37.5712_15.0188,Pizzeria Al Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/pizzeria_al_vecchio_mulino_37.5712_15.0188.json,custom
37.571410,15.023083,ov_pescheria_battaglia_37.5714_15.0231,Pescheria Battaglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/pescheria_battaglia_37.5714_15.0231.json,custom
37.571416,15.023066,ov_risto_pescheheria_37.5714_15.0231,Risto Pescheheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/risto_pescheheria_37.5714_15.0231.json,custom
37.569970,15.016642,ov_pizzeria_all_the_night_37.5700_15.0166,Pizzeria All the night,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/pizzeria_all_the_night_37.5700_15.0166.json,custom
37.568103,15.023185,ov_pizzeria_l_azalea_37.5681_15.0232,Pizzeria L'Azalea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/pizzeria_lazalea_37.5681_15.0232.json,custom
37.558233,15.023221,ov_chiosco_mirage_37.5582_15.0232,Chiosco Mirage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/chiosco_mirage_37.5582_15.0232.json,custom
37.574010,15.024610,ov_m_baruzzo_melito_37.5740_15.0246,M'BARuzzo melito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/mbaruzzo_melito_37.5740_15.0246.json,custom
37.572239,15.024519,ov_chiosco_della_vittoria_37.5722_15.0245,Chiosco Della Vittoria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/chiosco_della_vittoria_37.5722_15.0245.json,custom
37.572390,15.024281,ov_bar_squillaci_37.5724_15.0243,Bar Squillaci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/bar_squillaci_37.5724_15.0243.json,custom
37.570044,15.030174,ov_royal_bar_37.5700_15.0302,Royal Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/royal_bar_37.5700_15.0302.json,custom
37.499281,15.071540,ov_fitextremedancer_37.4993_15.0715,Fitextremedancer,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/fitextremedancer_37.4993_15.0715.json,custom
37.572890,15.024340,ov_artemisia_academy_37.5729_15.0243,Artemisia Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/artemisia_academy_37.5729_15.0243.json,custom
37.572964,15.031670,ov_fd_palestre_37.5730_15.0317,FD Palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_pietro_clarenza/pages/fd_palestre_37.5730_15.0317.json,custom
