# lat,lng,id,name,building_type,type,url,page_type
# borgo_a_mozzano -- Tutti
43.960333,10.506781,ov_la_tana_del_lupo_43.9603_10.5068,La Tana Del Lupo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/la_tana_del_lupo_43.9603_10.5068.json,custom
43.960544,10.506909,ov_ristorante_bengodi_la_camelia_43.9605_10.5069,Ristorante Bengodi La Camelia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/ristorante_bengodi_la_camelia_43.9605_10.5069.json,custom
43.964198,10.512326,ov_stop_pizza_43.9642_10.5123,Stop Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/stop_pizza_43.9642_10.5123.json,custom
44.021818,10.510908,ov_il_garfagnino_di_nonna_clara_44.0218_10.5109,Il Garfagnino Di Nonna Clara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/il_garfagnino_di_nonna_clara_44.0218_10.5109.json,custom
44.017950,10.530640,ov_valle_verde___piano_della_rocca_44.0179_10.5306,Valle Verde - Piano della Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/valle_verde_-_piano_della_rocca_44.0179_10.5306.json,custom
44.017348,10.530767,ov_da_lio_in_salita_44.0173_10.5308,Da Lio In Salita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/da_lio_in_salita_44.0173_10.5308.json,custom
44.001390,10.549260,ov_valle_verde_44.0014_10.5493,Valle Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/valle_verde_44.0014_10.5493.json,custom
44.001390,10.549260,ov_ristorante_pizzeria_valleverde_pian_dell_44.0014_10.5493,Ristorante Pizzeria Valleverde Pian Della Rocca Borgo A Mozz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/ristorante_pizzeria_valleverde_pian_dell_44.0014_10.5493.json,custom
44.008150,10.542386,ov_bacaro_44.0082_10.5424,Bacaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/bacaro_44.0082_10.5424.json,custom
43.998779,10.557542,ov_bidiba_ciberia_43.9988_10.5575,BiDiBa Ciberia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/bidiba_ciberia_43.9988_10.5575.json,custom
44.000530,10.559450,ov_ristorante_dagli_alti___con_terrazza_44.0005_10.5595,Ristorante dagli Alti - con Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/ristorante_dagli_alti_-_con_terrazza_44.0005_10.5595.json,custom
44.001174,10.559548,ov_ristorante_devil_s_bridge_44.0012_10.5595,Ristorante Devil's Bridge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/ristorante_devils_bridge_44.0012_10.5595.json,custom
43.977531,10.561632,ov_ristorante_pizzeria_branduzzi_43.9775_10.5616,Ristorante Pizzeria Branduzzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/ristorante_pizzeria_branduzzi_43.9775_10.5616.json,custom
43.979620,10.551870,ov_trattoria_gallo_d_oro_43.9796_10.5519,Trattoria Gallo D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/trattoria_gallo_doro_43.9796_10.5519.json,custom
43.985909,10.552796,ov_agriturismo_il_ponte_del_diavolo_43.9859_10.5528,Agriturismo Il Ponte del Diavolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/agriturismo_il_ponte_del_diavolo_43.9859_10.5528.json,custom
43.985535,10.552842,ov_osteria_del_diavolo_43.9855_10.5528,Osteria del Diavolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/osteria_del_diavolo_43.9855_10.5528.json,custom
43.980342,10.544189,ov_osteria_i_macelli_43.9803_10.5442,Osteria I Macelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/borgo_a_mozzano/pages/osteria_i_macelli_43.9803_10.5442.json,custom
