# lat,lng,id,name,building_type,type,url,page_type
# citt_della_pieve -- restaurants
43.017093,12.020151,ov_ristorante_albergo_il_pozzetto_43.0171_12.0202,Ristorante Albergo Il Pozzetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/ristorante_albergo_il_pozzetto_43.0171_12.0202.json,custom
43.008394,12.036725,ov__la_giuiaia____agriturismo_azienda_agric_43.0084_12.0367,“La Giuiaia” - Agriturismo Azienda Agricola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/la_giuiaia_-_agriturismo_azienda_agricol_43.0084_12.0367.json,custom
43.014470,12.018290,ov_matterullo_43.0145_12.0183,Matterullo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/matterullo_43.0145_12.0183.json,custom
43.000691,11.971412,ov_panificio_pasticceria_camilloni_e_belard_43.0007_11.9714,Panificio Pasticceria Camilloni e Belardinelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/panificio_pasticceria_camilloni_e_belard_43.0007_11.9714.json,custom
43.002390,11.971407,ov_cantiere___officina_di_cucina_43.0024_11.9714,Cantiere - Officina di Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/cantiere_-_officina_di_cucina_43.0024_11.9714.json,custom
43.002812,11.964204,ov_acqua___sapone_43.0028_11.9642,Acqua & Sapone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/acqua_sapone_43.0028_11.9642.json,custom
43.002716,11.965554,ov_koya_sushi_43.0027_11.9656,koya sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/koya_sushi_43.0027_11.9656.json,custom
42.988245,12.047977,ov_le_vie_bianche_42.9882_12.0480,Le Vie Bianche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/le_vie_bianche_42.9882_12.0480.json,custom
42.982729,12.038012,ov_il_fornello_country_house_42.9827_12.0380,Il Fornello Country House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/il_fornello_country_house_42.9827_12.0380.json,custom
42.972153,12.010270,ov_crocus_42.9722_12.0103,Crocus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/crocus_42.9722_12.0103.json,custom
42.976604,11.987409,ov_il_capriccio_42.9766_11.9874,Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/il_capriccio_42.9766_11.9874.json,custom
42.958410,12.001009,ov_la_fonte_del_folletto_42.9584_12.0010,La Fonte Del Folletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/la_fonte_del_folletto_42.9584_12.0010.json,custom
42.955507,12.010185,ov_molino49_42.9555_12.0102,Molino49,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/citt_della_pieve/pages/molino49_42.9555_12.0102.json,custom
