# lat,lng,id,name,building_type,type,url,page_type
# marradi -- Tutti
44.039764,11.547838,ov_chiosco_la_pineta_crespino_sul_lamone_ma_44.0398_11.5478,Chiosco La Pineta Crespino Sul Lamone Marradi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/chiosco_la_pineta_crespino_sul_lamone_ma_44.0398_11.5478.json,custom
44.041592,11.600679,ov_baia_del_mulino_44.0416_11.6007,Baia del Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/baia_del_mulino_44.0416_11.6007.json,custom
44.074959,11.611437,ov_ristorante_pizzeria_campigno_44.0750_11.6114,Ristorante Pizzeria Campigno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/ristorante_pizzeria_campigno_44.0750_11.6114.json,custom
44.074959,11.611437,ov_ristorante_il_casolare_marradi_44.0750_11.6114,Ristorante Il Casolare Marradi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/ristorante_il_casolare_marradi_44.0750_11.6114.json,custom
44.075169,11.611651,ov_al_cantuccio_44.0752_11.6117,Al Cantuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/al_cantuccio_44.0752_11.6117.json,custom
44.075420,11.613046,ov_le_delizie_del_palato_44.0754_11.6130,Le Delizie Del Palato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/le_delizie_del_palato_44.0754_11.6130.json,custom
44.075370,11.613219,ov_la_bottega_di_marradi_alimentari_44.0754_11.6132,La Bottega di Marradi Alimentari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/la_bottega_di_marradi_alimentari_44.0754_11.6132.json,custom
44.075779,11.615767,ov_ristorante_la_colombaia_44.0758_11.6158,Ristorante La Colombaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/ristorante_la_colombaia_44.0758_11.6158.json,custom
44.076094,11.613051,ov_le_scalelle_44.0761_11.6131,Le Scalelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/le_scalelle_44.0761_11.6131.json,custom
44.074460,11.636640,ov_shopping_us__44.0745_11.6366,Shopping US',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/shopping_us_44.0745_11.6366.json,custom
44.058210,11.602160,ov_osteria_di_campigno_44.0582_11.6022,Osteria di Campigno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/osteria_di_campigno_44.0582_11.6022.json,custom
44.073553,11.688903,ov_agriturismo_badia_della_valle_44.0736_11.6889,Agriturismo Badia Della Valle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/agriturismo_badia_della_valle_44.0736_11.6889.json,custom
44.090516,11.626935,ov_il_casolare_44.0905_11.6269,Il Casolare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/il_casolare_44.0905_11.6269.json,custom
44.078564,11.614854,ov_chiosco_sos_pancia_vuota_44.0786_11.6149,Chiosco Sos Pancia Vuota,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/chiosco_sos_pancia_vuota_44.0786_11.6149.json,custom
44.078560,11.616790,ov_gli_allocchi_44.0786_11.6168,Gli Allocchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/gli_allocchi_44.0786_11.6168.json,custom
44.079007,11.617901,ov_ristorante_il_camino_44.0790_11.6179,Ristorante Il Camino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/ristorante_il_camino_44.0790_11.6179.json,custom
44.079070,11.617983,ov_al_camino_44.0791_11.6180,Al Camino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/al_camino_44.0791_11.6180.json,custom
44.065072,11.601566,ov_bar_biforco_bambi_44.0651_11.6016,Bar Biforco Bambi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/bar_biforco_bambi_44.0651_11.6016.json,custom
44.094773,11.639804,ov_bar_mughini_44.0948_11.6398,Bar Mughini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/bar_mughini_44.0948_11.6398.json,custom
44.081276,11.619014,ov_nuovo_caff__44.0813_11.6190,Nuovo Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/nuovo_caff_44.0813_11.6190.json,custom
44.077016,11.613504,osm_teatro_caff__44.0770_11.6135,Teatro Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/teatro_caff_44.0770_11.6135.json,custom
44.076906,11.613065,osm_biblioteca_comunale_di_marradi_44.0769_11.6131,Biblioteca Comunale di Marradi,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/marradi/pages/biblioteca_comunale_di_marradi_44.0769_11.6131.json,custom
