# lat,lng,id,name,building_type,type,url,page_type
# peccioli -- restaurants.csv
43.510840,10.771830,ov_la_cantina_serravalle_43.5108_10.7718,La Cantina Serravalle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/la_cantina_serravalle_43.5108_10.7718.json,custom
43.517038,10.743134,ov_agriturismo_la_macchia_43.5170_10.7431,Agriturismo La Macchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/agriturismo_la_macchia_43.5170_10.7431.json,custom
43.554368,10.711411,ov_congusto_social_eating_43.5544_10.7114,Congusto Social eating,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/congusto_social_eating_43.5544_10.7114.json,custom
43.554850,10.712317,ov_congusto_cucina_contemporanea_43.5549_10.7123,ConGusto-Cucina Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/congusto-cucina_contemporanea_43.5549_10.7123.json,custom
43.548988,10.720943,ov_bulleri_macelleria_bistrot_43.5490_10.7209,Bulleri Macelleria Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/bulleri_macelleria_bistrot_43.5490_10.7209.json,custom
43.548369,10.720402,ov_orti_di_peccioli_43.5484_10.7204,Orti di Peccioli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/orti_di_peccioli_43.5484_10.7204.json,custom
43.548065,10.720537,ov_audha_srl_43.5481_10.7205,Audha Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/audha_srl_43.5481_10.7205.json,custom
43.547933,10.720913,ov_artegrappe_43.5479_10.7209,ArteGrappe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/artegrappe_43.5479_10.7209.json,custom
43.547619,10.720703,ov_gf_ristorante_43.5476_10.7207,GF Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/gf_ristorante_43.5476_10.7207.json,custom
43.547526,10.720682,ov_la_dispensa_osteria_enoteca_43.5475_10.7207,La Dispensa Osteria Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/la_dispensa_osteria_enoteca_43.5475_10.7207.json,custom
43.546632,10.718810,ov_ristorante_pizzeria_oasi_43.5466_10.7188,Ristorante Pizzeria Oasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/ristorante_pizzeria_oasi_43.5466_10.7188.json,custom
43.546755,10.719401,ov_pizzeria_via_nova_43.5468_10.7194,Pizzeria Via Nova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/pizzeria_via_nova_43.5468_10.7194.json,custom
43.546220,10.720494,ov_osteria_familiare_caff__haus_43.5462_10.7205,Osteria Familiare Caffè Haus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/osteria_familiare_caff_haus_43.5462_10.7205.json,custom
43.545380,10.717272,ov_bar_mal__43.5454_10.7173,Bar Malù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/bar_mal_43.5454_10.7173.json,custom
43.547965,10.822561,ov_agriturismo_cavaglione_43.5480_10.8226,Agriturismo Cavaglione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/agriturismo_cavaglione_43.5480_10.8226.json,custom
43.571670,10.795071,ov_benozzo_43.5717_10.7951,BenOzzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/benozzo_43.5717_10.7951.json,custom
43.547506,10.720702,osm_locanda_dell_amicone_43.5475_10.7207,Locanda dell'amicone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/locanda_dellamicone_43.5475_10.7207.json,custom
43.547893,10.720964,osm_arte_grappe_43.5479_10.7210,Arte Grappe,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/arte_grappe_43.5479_10.7210.json,custom
43.554396,10.711385,osm_congusto_43.5544_10.7114,Congusto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/congusto_43.5544_10.7114.json,custom
43.546034,10.720755,osm_osteria_caff__haus_43.5460_10.7208,Osteria Caffè Haus,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/osteria_caff_haus_43.5460_10.7208.json,custom
43.496824,10.777353,ov_agriturismo_biologico_diacceroni_43.4968_10.7774,Agriturismo Biologico Diacceroni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/agriturismo_biologico_diacceroni_43.4968_10.7774.json,custom
43.497163,10.747836,ov_ristorante_l_antico_molino_43.4972_10.7478,Ristorante L'Antico Molino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/ristorante_lantico_molino_43.4972_10.7478.json,custom
43.498677,10.784246,ov_agriturismo_casa_rossa_43.4987_10.7842,Agriturismo Casa Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/peccioli/pages/agriturismo_casa_rossa_43.4987_10.7842.json,custom
