# lat,lng,id,name,building_type,type,url,page_type
# pisa -- gyms
43.584968,10.296596,ov_school_kite_calambrone_43.5850_10.2966,School Kite calambrone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/school_kite_calambrone_43.5850_10.2966.json,custom
43.592428,10.294765,ov_bagno_uappala_43.5924_10.2948,Bagno Uappala,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/bagno_uappala_43.5924_10.2948.json,custom
43.591533,10.297158,ov_solidagofitness_43.5915_10.2972,SolidagoFitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/solidagofitness_43.5915_10.2972.json,custom
43.617947,10.304040,ov_tirrenia_centro_coni_43.6179_10.3040,Tirrenia Centro Coni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/tirrenia_centro_coni_43.6179_10.3040.json,custom
43.622344,10.385896,ov_centro_equitazione_isola_43.6223_10.3859,Centro Equitazione Isola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/centro_equitazione_isola_43.6223_10.3859.json,custom
43.628780,10.291490,ov_new_continental_fitness__asd_tirrenia_fi_43.6288_10.2915,New Continental Fitness  ASD Tirrenia Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/new_continental_fitness_asd_tirrenia_fit_43.6288_10.2915.json,custom
43.628132,10.289036,ov_tintarella_swing_camp_43.6281_10.2890,Tintarella Swing Camp,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/tintarella_swing_camp_43.6281_10.2890.json,custom
43.632826,10.292269,ov_social_beach_43.6328_10.2923,Social Beach,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/social_beach_43.6328_10.2923.json,custom
43.634634,10.287743,ov_blueroom_watersports_43.6346_10.2877,BlueRoom Watersports,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/blueroom_watersports_43.6346_10.2877.json,custom
43.644258,10.285905,ov_surf_academy_tirrenia_43.6443_10.2859,Surf Academy Tirrenia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/surf_academy_tirrenia_43.6443_10.2859.json,custom
43.643859,10.386181,ov_terre_brune_equestrian_center_43.6439_10.3862,terre brune equestrian center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/terre_brune_equestrian_center_43.6439_10.3862.json,custom
43.628634,10.304445,ov_cosmopolitan_golf___country_club_spa_43.6286_10.3044,Cosmopolitan Golf & Country Club SPA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/cosmopolitan_golf_country_club_spa_43.6286_10.3044.json,custom
43.638993,10.391187,ov_speedball_paintball_toscana_43.6390_10.3912,Speedball Paintball Toscana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/speedball_paintball_toscana_43.6390_10.3912.json,custom
43.658150,10.377820,ov_matteo_bartalini_riding_school_43.6581_10.3778,Matteo Bartalini Riding School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/matteo_bartalini_riding_school_43.6581_10.3778.json,custom
43.658280,10.378030,ov_terrebrune_equestrian_centre_43.6583_10.3780,Terrebrune Equestrian Centre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/terrebrune_equestrian_centre_43.6583_10.3780.json,custom
43.650030,10.285120,ov_uisp_village_marina_di_pisa_43.6500_10.2851,Uisp village Marina di Pisa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/uisp_village_marina_di_pisa_43.6500_10.2851.json,custom
43.661435,10.280915,ov_scuola_di_danza_amarindance_43.6614_10.2809,Scuola di Danza Amarindance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/scuola_di_danza_amarindance_43.6614_10.2809.json,custom
43.674000,10.273690,ov_marina_gym_club_43.6740_10.2737,Marina Gym Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/marina_gym_club_43.6740_10.2737.json,custom
43.675251,10.273150,ov_studio_eukinesis_43.6753_10.2732,Studio Eukinesis,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/studio_eukinesis_43.6753_10.2732.json,custom
43.677826,10.302569,ov_scuolavela_toscana_43.6778_10.3026,Scuolavela Toscana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pisa/pages/scuolavela_toscana_43.6778_10.3026.json,custom
