# lat,lng,id,name,building_type,type,url,page_type
# san_vincenzo -- bars_cafes.csv
43.094340,10.581872,ov_il_sal8_bar_agricolo_43.0943_10.5819,Il Sal8 Bar Agricolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/il_sal8_bar_agricolo_43.0943_10.5819.json,custom
43.098320,10.538835,ov_kalimera_43.0983_10.5388,Kalimera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/kalimera_43.0983_10.5388.json,custom
43.097721,10.539040,ov_bar_il_gabbiano_43.0977_10.5390,Bar Il Gabbiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/bar_il_gabbiano_43.0977_10.5390.json,custom
43.096494,10.540447,ov_bar_da_pippo_43.0965_10.5404,Bar Da Pippo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/bar_da_pippo_43.0965_10.5404.json,custom
43.096272,10.539000,ov_vineria_etrusca_43.0963_10.5390,Vineria Etrusca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/vineria_etrusca_43.0963_10.5390.json,custom
43.096003,10.544570,ov_super___tuscans_s_r_l__san_vincenzo__43.0960_10.5446,Super & Tuscans S.r.l (San Vincenzo),RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/super_tuscans_srl_san_vincenzo_43.0960_10.5446.json,custom
43.093829,10.545315,ov_bombo_bar_43.0938_10.5453,Bombo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/bombo_bar_43.0938_10.5453.json,custom
43.093090,10.539620,ov_bar_pasticceria_tuttook_43.0931_10.5396,Bar Pasticceria TuttoOk,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/bar_pasticceria_tuttook_43.0931_10.5396.json,custom
43.093090,10.539620,ov_la_vita_dolce_43.0931_10.5396,La Vita Dolce,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/la_vita_dolce_43.0931_10.5396.json,custom
43.093921,10.539014,ov_brandibirra_43.0939_10.5390,Brandibirra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/brandibirra_43.0939_10.5390.json,custom
43.094584,10.539227,ov_la_rinascita_43.0946_10.5392,La Rinascita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/la_rinascita_43.0946_10.5392.json,custom
43.100962,10.537894,ov_molo20_cocktail_bar___ristorantino_43.1010_10.5379,Molo20 cocktail bar & ristorantino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/molo20_cocktail_bar_ristorantino_43.1010_10.5379.json,custom
43.100698,10.538019,ov_zanzibar_43.1007_10.5380,Zanzibar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/zanzibar_43.1007_10.5380.json,custom
43.100640,10.537990,ov_zanzibar___san_vincenzo_43.1006_10.5380,Zanzibar • San Vincenzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/zanzibar_san_vincenzo_43.1006_10.5380.json,custom
43.099408,10.538857,ov_kimera_43.0994_10.5389,Kimera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/kimera_43.0994_10.5389.json,custom
43.100505,10.539047,ov_bar_gelateria_il_pinguino_43.1005_10.5390,Bar Gelateria Il Pinguino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_vincenzo/pages/bar_gelateria_il_pinguino_43.1005_10.5390.json,custom
