# lat,lng,id,name,building_type,type,url,page_type
# perca -- Tutti
46.814869,12.026701,ov_g_nneralm_46.8149_12.0267,Gönneralm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/gnneralm_46.8149_12.0267.json,custom
46.814864,12.005625,ov_pyramidencafe_46.8149_12.0056,Pyramidencafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/pyramidencafe_46.8149_12.0056.json,custom
46.852744,12.049451,ov_haidacher_alm_46.8527_12.0495,Haidacher Alm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/haidacher_alm_46.8527_12.0495.json,custom
46.793159,12.017550,osm_hofsch_nke_niedristhof_46.7932_12.0176,Hofschänke Niedristhof,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/hofschnke_niedristhof_46.7932_12.0176.json,custom
46.814995,12.005663,osm_pyramidencafe_46.8150_12.0057,Pyramidencafe,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/pyramidencafe_46.8150_12.0057.json,custom
46.792234,11.980832,ov_koriander_46.7922_11.9808,Koriander,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/koriander_46.7922_11.9808.json,custom
46.814891,11.999509,ov_gasthaus_moar_46.8149_11.9995,Gasthaus Moar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/gasthaus_moar_46.8149_11.9995.json,custom
46.788220,11.990012,ov_sportbar_percha_46.7882_11.9900,Sportbar Percha,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/sportbar_percha_46.7882_11.9900.json,custom
46.790443,11.977977,ov_treff_46.7904_11.9780,TREFF,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/treff_46.7904_11.9780.json,custom
46.814770,11.999618,ov_lercheralm_oberwielenbach_46.8148_11.9996,LercherAlm Oberwielenbach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/lercheralm_oberwielenbach_46.8148_11.9996.json,custom
46.792220,11.980684,osm_pizzeria_koriander_46.7922_11.9807,Pizzeria Koriander,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/pizzeria_koriander_46.7922_11.9807.json,custom
46.788263,11.990075,osm_sportbar_percha_46.7883_11.9901,Sportbar Percha,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/perca/pages/sportbar_percha_46.7883_11.9901.json,custom
