# lat,lng,id,name,building_type,type,url,page_type
# predaia -- restaurants.csv
46.317227,11.068947,ov_ristorante_pizzeria_panorama_46.3172_11.0689,Ristorante Pizzeria Panorama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/ristorante_pizzeria_panorama_46.3172_11.0689.json,custom
46.321070,11.065540,ov_malga_rodeza_46.3211_11.0655,Malga Rodeza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/malga_rodeza_46.3211_11.0655.json,custom
46.321116,11.065942,ov_al_baco_46.3211_11.0659,Al Baco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/al_baco_46.3211_11.0659.json,custom
46.299031,11.069193,ov_pizza_al_taglio_da_mario_46.2990_11.0692,Pizza al taglio da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/pizza_al_taglio_da_mario_46.2990_11.0692.json,custom
46.319382,11.096125,ov_sidreria_melchiori_46.3194_11.0961,Sidreria Melchiori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/sidreria_melchiori_46.3194_11.0961.json,custom
46.315226,11.152302,ov_rifugio_predaia_46.3152_11.1523,Rifugio Predaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/rifugio_predaia_46.3152_11.1523.json,custom
46.348790,11.091360,ov_malga_di_coredo_46.3488_11.0914,Malga di Coredo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/malga_di_coredo_46.3488_11.0914.json,custom
46.349105,11.090079,ov_pizzeria_la_serena_46.3491_11.0901,Pizzeria La Serena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/pizzeria_la_serena_46.3491_11.0901.json,custom
46.349706,11.111516,ov_i_tre_briganti_46.3497_11.1115,I tre briganti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/i_tre_briganti_46.3497_11.1115.json,custom
46.341814,11.107936,ov_risorante_baita_sette_larici_46.3418_11.1079,Risorante Baita Sette Larici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/risorante_baita_sette_larici_46.3418_11.1079.json,custom
46.362919,11.096556,ov_cantina_del_bruno___del_pineta_46.3629_11.0966,Cantina Del Bruno & Del Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/cantina_del_bruno_del_pineta_46.3629_11.0966.json,custom
46.363325,11.097706,ov_ristorante_alla_pineta_46.3633_11.0977,Ristorante Alla Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/ristorante_alla_pineta_46.3633_11.0977.json,custom
46.364528,11.099818,ov_agritur_agostini_46.3645_11.0998,Agritur Agostini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/agritur_agostini_46.3645_11.0998.json,custom
46.357858,11.105804,ov_ristorante_due_laghi__coredo__46.3579_11.1058,Ristorante Due Laghi (Coredo),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/ristorante_due_laghi_coredo_46.3579_11.1058.json,custom
46.346090,11.134647,ov_ristorante_pizzeria_baita_7_larici_46.3461_11.1346,Ristorante Pizzeria Baita 7 Larici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/ristorante_pizzeria_baita_7_larici_46.3461_11.1346.json,custom
46.326602,11.141803,osm_solarium_predaia_46.3266_11.1418,Solarium Predaia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/predaia/pages/solarium_predaia_46.3266_11.1418.json,custom
