# lat,lng,id,name,building_type,type,url,page_type
# terlano -- restaurants.csv
46.552664,11.179415,ov_zur_brucke_46.5527_11.1794,Zur Brucke,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/zur_brucke_46.5527_11.1794.json,custom
46.557973,11.222173,ov_restaurant_sparerhof_46.5580_11.2222,Restaurant Sparerhof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/restaurant_sparerhof_46.5580_11.2222.json,custom
46.519302,11.261176,ov_restaurant_oberspeiser_46.5193_11.2612,Restaurant Oberspeiser,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/restaurant_oberspeiser_46.5193_11.2612.json,custom
46.511223,11.274729,ov_restaurant_pizzeria_romedius_46.5112_11.2747,Restaurant Pizzeria Romedius,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/restaurant_pizzeria_romedius_46.5112_11.2747.json,custom
46.536990,11.259120,ov_buschenschank_oberlegar_46.5370_11.2591,Buschenschank Oberlegar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/buschenschank_oberlegar_46.5370_11.2591.json,custom
46.544443,11.256937,ov_buschenschank_oberlegar_46.5444_11.2569,Buschenschank Oberlegar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/buschenschank_oberlegar_46.5444_11.2569.json,custom
46.528997,11.248826,osm_oberhauser_46.5290_11.2488,Oberhauser,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/oberhauser_46.5290_11.2488.json,custom
46.563215,11.224811,osm_soali_xxl_house_46.5632_11.2248,Soali XXL House,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/soali_xxl_house_46.5632_11.2248.json,custom
46.535829,11.245326,osm_residence_egger_46.5358_11.2453,Residence Egger,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/residence_egger_46.5358_11.2453.json,custom
46.544464,11.256920,osm_oberlegar_46.5445_11.2569,Oberlegar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/oberlegar_46.5445_11.2569.json,custom
