# lat,lng,id,name,building_type,type,url,page_type
# Zugliano -- Tutti
45.730935,11.519029,osm_distretto_socio_sanitario___ulss_7_pedem_45.7309_11.5190,Distretto Socio-Sanitario - ULSS 7 Pedemontana,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/distretto_socio-sanitario_-_ulss_7_pedem_45.7309_11.5190.json,custom
45.723520,11.479463,ov_pizzeria_aurora_bar_45.7235_11.4795,Pizzeria Aurora Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/pizzeria_aurora_bar_45.7235_11.4795.json,custom
45.718822,11.489542,ov_la_vecchia_edera_45.7188_11.4895,La Vecchia Edera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/la_vecchia_edera_45.7188_11.4895.json,custom
45.722486,11.491910,ov_sapori_di_pizza_45.7225_11.4919,Sapori Di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/sapori_di_pizza_45.7225_11.4919.json,custom
45.731911,11.494619,ov_la_luce_in_villa_bassi_45.7319_11.4946,La Luce in Villa Bassi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/la_luce_in_villa_bassi_45.7319_11.4946.json,custom
45.731828,11.494532,ov_villa_bassi_enoteca_45.7318_11.4945,Villa Bassi Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/villa_bassi_enoteca_45.7318_11.4945.json,custom
45.726112,11.488673,ov_c__dell_agata_45.7261_11.4887,Cà dell'Agata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/c_dellagata_45.7261_11.4887.json,custom
45.729836,11.487580,ov_sapori_di_pizza_45.7298_11.4876,Sapori di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/sapori_di_pizza_45.7298_11.4876.json,custom
45.728941,11.481397,ov_trattoria_al_cavallino_45.7289_11.4814,Trattoria Al Cavallino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/trattoria_al_cavallino_45.7289_11.4814.json,custom
45.729810,11.518090,ov_kiosco_zugliano_45.7298_11.5181,Kiosco Zugliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/kiosco_zugliano_45.7298_11.5181.json,custom
45.737402,11.518424,ov_pizzeria_al_piazzo_45.7374_11.5184,Pizzeria Al Piazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/pizzeria_al_piazzo_45.7374_11.5184.json,custom
45.743597,11.510665,ov_agriturismo_da_marinella_45.7436_11.5107,Agriturismo Da Marinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/agriturismo_da_marinella_45.7436_11.5107.json,custom
45.743823,11.510036,ov_agriturismo_marinea_45.7438_11.5100,Agriturismo Marinea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/agriturismo_marinea_45.7438_11.5100.json,custom
45.734877,11.518629,osm_la_vecchia_latteria_45.7349_11.5186,La vecchia latteria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/la_vecchia_latteria_45.7349_11.5186.json,custom
45.727647,11.496537,ov_nero_caf__45.7276_11.4965,Nero Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/nero_caf_45.7276_11.4965.json,custom
45.729531,11.480488,ov_bar_sport_di_rizzato_carmen_45.7295_11.4805,Bar Sport Di Rizzato Carmen,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/bar_sport_di_rizzato_carmen_45.7295_11.4805.json,custom
45.733235,11.521390,ov_caffe_antica_pesa_45.7332_11.5214,Caffe Antica Pesa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/caffe_antica_pesa_45.7332_11.5214.json,custom
45.723812,11.518601,ov_luppoland_45.7238_11.5186,Luppoland,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/luppoland_45.7238_11.5186.json,custom
45.729959,11.518043,ov_bar_pesa_45.7300_11.5180,Bar Pesa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/bar_pesa_45.7300_11.5180.json,custom
45.735567,11.530235,ov_groove_birrificio_indipendente_45.7356_11.5302,Groove Birrificio Indipendente,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/groove_birrificio_indipendente_45.7356_11.5302.json,custom
45.744176,11.407471,ov_centro_estivo_pianeta_gioco_zugliano_45.7442_11.4075,Centro Estivo Pianeta Gioco Zugliano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/centro_estivo_pianeta_gioco_zugliano_45.7442_11.4075.json,custom
45.724680,11.481310,ov_discipline_di_acrobatica_aerea_45.7247_11.4813,Discipline di acrobatica aerea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/discipline_di_acrobatica_aerea_45.7247_11.4813.json,custom
45.737981,11.530526,ov_ma_ma__co_operativa_45.7380_11.5305,MA.MA. Co.Operativa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/mama_cooperativa_45.7380_11.5305.json,custom
45.734503,11.520983,osm_biblioteca_zugliano_45.7345_11.5210,Biblioteca Zugliano,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/zugliano/pages/biblioteca_zugliano_45.7345_11.5210.json,custom
