# lat,lng,id,name,building_type,type,url,page_type
# gubbio -- bars_cafes.csv
43.334140,12.411497,ov_bar_la_sosta_43.3341_12.4115,Bar La Sosta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_la_sosta_43.3341_12.4115.json,custom
43.352577,12.567169,ov_bar_del_ceraiolo_43.3526_12.5672,Bar del Ceraiolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_del_ceraiolo_43.3526_12.5672.json,custom
43.349657,12.560658,ov_nero_caf__43.3497_12.5607,Nero Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/nero_caf_43.3497_12.5607.json,custom
43.349500,12.568335,ov_bar_consoli_43.3495_12.5683,Bar Consoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_consoli_43.3495_12.5683.json,custom
43.348006,12.561507,ov_il_barre_43.3480_12.5615,Il Barre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/il_barre_43.3480_12.5615.json,custom
43.342330,12.578501,ov_bar_pasticceria_italia_gubbio_43.3423_12.5785,Bar Pasticceria Italia Gubbio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_pasticceria_italia_gubbio_43.3423_12.5785.json,custom
43.343583,12.576475,ov_enoteca_calzuola_43.3436_12.5765,Enoteca Calzuola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/enoteca_calzuola_43.3436_12.5765.json,custom
43.346026,12.583067,ov_bar_due_piu_43.3460_12.5831,Bar Due Piu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_due_piu_43.3460_12.5831.json,custom
43.344627,12.584324,ov_melrose_bar_43.3446_12.5843,Melrose BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/melrose_bar_43.3446_12.5843.json,custom
43.346485,12.576316,ov_bar_la_stazione_43.3465_12.5763,Bar la Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_la_stazione_43.3465_12.5763.json,custom
43.346807,12.572395,ov_gubbio_no_borders_43.3468_12.5724,Gubbio No Borders,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/gubbio_no_borders_43.3468_12.5724.json,custom
43.347320,12.572450,ov_bar_le_mura_43.3473_12.5724,Bar Le Mura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_le_mura_43.3473_12.5724.json,custom
43.350698,12.581007,ov_bar_padeletti_43.3507_12.5810,Bar Padeletti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_padeletti_43.3507_12.5810.json,custom
43.350163,12.577670,ov_il_nuovo_bar_dello_sport_43.3502_12.5777,Il nuovo Bar dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/il_nuovo_bar_dello_sport_43.3502_12.5777.json,custom
43.350146,12.573043,ov_bar_rossi_snc_di_rossi_a___c_43.3501_12.5730,Bar Rossi SNC di Rossi A & C,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_rossi_snc_di_rossi_a_c_43.3501_12.5730.json,custom
43.350884,12.577533,ov_cuv_e_enoteca___wine_bar_43.3509_12.5775,Cuvée Enoteca & Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/cuve_enoteca_wine_bar_43.3509_12.5775.json,custom
43.351051,12.575383,ov_bar_europa_43.3511_12.5754,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_europa_43.3511_12.5754.json,custom
43.352589,12.573628,ov_caff__del_teatro_43.3526_12.5736,Caffè del Teatro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/caff_del_teatro_43.3526_12.5736.json,custom
43.352983,12.576492,ov_imbocco_wine_bar_restaurant_43.3530_12.5765,Imbocco Wine Bar Restaurant,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/imbocco_wine_bar_restaurant_43.3530_12.5765.json,custom
43.352866,12.576275,ov_bar_caffe_di_dragoni_43.3529_12.5763,Bar Caffe Di Dragoni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_caffe_di_dragoni_43.3529_12.5763.json,custom
43.352726,12.576887,ov_fra_luppolo_43.3527_12.5769,Fra Luppolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/fra_luppolo_43.3527_12.5769.json,custom
43.351951,12.575991,ov_antonella_e_lecosefatteamano_43.3520_12.5760,Antonella e Lecosefatteamano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/antonella_e_lecosefatteamano_43.3520_12.5760.json,custom
43.351976,12.578313,ov_bar_jolly_43.3520_12.5783,Bar Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_jolly_43.3520_12.5783.json,custom
43.352149,12.578657,ov_fusion_cafe_43.3521_12.5787,Fusion Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/fusion_cafe_43.3521_12.5787.json,custom
43.352121,12.579448,ov_placebo_drink_room_43.3521_12.5794,Placebo Drink Room,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/placebo_drink_room_43.3521_12.5794.json,custom
43.351914,12.579775,ov_bar_biscotto_43.3519_12.5798,Bar Biscotto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_biscotto_43.3519_12.5798.json,custom
43.352273,12.579143,ov_civico_10_43.3523_12.5791,Civico 10,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/civico_10_43.3523_12.5791.json,custom
43.352555,12.579817,ov_savelli_5__amadeus_ristopub__43.3526_12.5798,Savelli 5 (Amadeus RistoPub),RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/savelli_5_amadeus_ristopub_43.3526_12.5798.json,custom
43.351950,12.582830,ov_la_funivia_otto2sette__lounge_43.3520_12.5828,La Funivia Otto2Sette  lounge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/la_funivia_otto2sette_lounge_43.3520_12.5828.json,custom
43.351663,12.580133,ov_barito_43.3517_12.5801,Barito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/barito_43.3517_12.5801.json,custom
43.351483,12.579783,ov_the_sound_lounge_bar_43.3515_12.5798,The Sound Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/the_sound_lounge_bar_43.3515_12.5798.json,custom
43.351591,12.579735,ov_bar_centrale_43.3516_12.5797,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_centrale_43.3516_12.5797.json,custom
43.351416,12.579988,ov_la_garibaldi_43.3514_12.5800,La Garibaldi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/la_garibaldi_43.3514_12.5800.json,custom
43.333363,12.603741,ov_caffe_san_marco_43.3334_12.6037,Caffe San Marco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/caffe_san_marco_43.3334_12.6037.json,custom
43.334015,12.602755,ov_bar_pino_43.3340_12.6028,Bar Pino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gubbio/pages/bar_pino_43.3340_12.6028.json,custom
