# lat,lng,id,name,building_type,type,url,page_type
# anniviers -- restaurants.csv
46.251758,7.597566,ov_le_chalet_chandolin_46.2518_7.5976,Le Chalet Chandolin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/le_chalet_chandolin_46.2518_7.5976.json,custom
46.252124,7.597671,ov_restaurant_altitude_46.2521_7.5977,Restaurant Altitude,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/restaurant_altitude_46.2521_7.5977.json,custom
46.220324,7.598240,ov_le_tir_bouch_46.2203_7.5982,Le Tir Bouch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/le_tir_bouch_46.2203_7.5982.json,custom
46.221053,7.595886,ov_la_foug_re_46.2211_7.5959,La Fougère,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/la_fougre_46.2211_7.5959.json,custom
46.221219,7.595573,ov_le_panoramik_46.2212_7.5956,Le Panoramik,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/le_panoramik_46.2212_7.5956.json,custom
46.223720,7.592749,ov_caf__restaurant_de_la_poste_46.2237_7.5927,Café Restaurant de la Poste,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/caf_restaurant_de_la_poste_46.2237_7.5927.json,custom
46.217964,7.612377,ov_restaurant_du_prilett__46.2180_7.6124,Restaurant du Prilett',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/restaurant_du_prilett_46.2180_7.6124.json,custom
46.138525,7.573721,ov_clems___fabs_s_rl_i_restaurant_du_lac_de_46.1385_7.5737,Clems & Fabs Sàrl I Restaurant du Lac de Moiry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/clems_fabs_srl_i_restaurant_du_lac_de_mo_46.1385_7.5737.json,custom
46.175844,7.573322,ov_da_claudio_46.1758_7.5733,Da Claudio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/da_claudio_46.1758_7.5733.json,custom
46.176046,7.574197,ov_restaurant_flocons_de_neige_46.1760_7.5742,Restaurant Flocons de Neige,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/restaurant_flocons_de_neige_46.1760_7.5742.json,custom
46.178212,7.574522,ov_restaurant___cr_perie_la_claire_fontaine_46.1782_7.5745,Restaurant - Crêperie La Claire Fontaine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/restaurant_-_crperie_la_claire_fontaine_46.1782_7.5745.json,custom
46.180094,7.576420,ov_templum_restaurant_pizzeria_46.1801_7.5764,Templum Restaurant Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/templum_restaurant_pizzeria_46.1801_7.5764.json,custom
46.180480,7.576420,ov_restaurant_le_bob_46.1805_7.5764,Restaurant Le BOB,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/restaurant_le_bob_46.1805_7.5764.json,custom
46.196700,7.584830,ov_gougra_46.1967_7.5848,Gougra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/gougra_46.1967_7.5848.json,custom
46.215621,7.584675,ov_relais_des_m_l_zes_46.2156_7.5847,Relais des Mélèzes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/relais_des_mlzes_46.2156_7.5847.json,custom
46.185016,7.558851,ov_restaurant_le_marais_46.1850_7.5589,Restaurant Le Marais,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/restaurant_le_marais_46.1850_7.5589.json,custom
46.184047,7.532625,ov_bob_buvette_orzival_burger_46.1840_7.5326,BOB Buvette Orzival Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/bob_buvette_orzival_burger_46.1840_7.5326.json,custom
46.075136,7.636871,ov_cabane_le_petit_mountet_46.0751_7.6369,Cabane Le Petit Mountet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/cabane_le_petit_mountet_46.0751_7.6369.json,custom
46.135359,7.644767,ov_la_vie_46.1354_7.6448,La Vie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/la_vie_46.1354_7.6448.json,custom
46.126248,7.632053,ov_relais_de_la_tzoucdana_46.1262_7.6321,Relais de la Tzoucdana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/relais_de_la_tzoucdana_46.1262_7.6321.json,custom
46.136064,7.626223,ov_hotel_de_la_poste_46.1361_7.6262,Hotel de la Poste,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/hotel_de_la_poste_46.1361_7.6262.json,custom
46.135113,7.625818,ov_the_bistro_zinal_46.1351_7.6258,The Bistro Zinal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/the_bistro_zinal_46.1351_7.6258.json,custom
46.135571,7.625770,ov_la_ferme_46.1356_7.6258,La Ferme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/la_ferme_46.1356_7.6258.json,custom
46.136722,7.625130,ov_val_rie_caf__46.1367_7.6251,Valérie Café,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/valrie_caf_46.1367_7.6251.json,custom
46.137055,7.625356,ov_d_fichiaz_raclette_bar_46.1371_7.6254,Défichiaz Raclette Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/dfichiaz_raclette_bar_46.1371_7.6254.json,custom
46.229632,7.624595,ov_buvette_tsig_re_la_coha_46.2296_7.6246,Buvette Tsigère La Coha,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/anniviers/pages/buvette_tsigre_la_coha_46.2296_7.6246.json,custom
