# lat,lng,id,name,building_type,type,url,page_type
# champagny-en-vanoise -- restaurants.csv
45.489167,6.709457,ov_les_killis_45.4892_6.7095,Les Killis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/les_killis_45.4892_6.7095.json,custom
45.472099,6.694822,ov_restaurant_la_rossa_45.4721_6.6948,Restaurant La Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/restaurant_la_rossa_45.4721_6.6948.json,custom
45.473477,6.689027,ov_les_borseliers_45.4735_6.6890,Les borseliers,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/les_borseliers_45.4735_6.6890.json,custom
45.460390,6.744801,ov_le_canada_45.4604_6.7448,Le Canada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/le_canada_45.4604_6.7448.json,custom
45.459489,6.744479,ov_refuge_du_bois_restaurant_gite_auberge_45.4595_6.7445,Refuge du Bois Restaurant Gite Auberge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/refuge_du_bois_restaurant_gite_auberge_45.4595_6.7445.json,custom
45.450000,6.700000,ov_restaurant_le_canada_45.4500_6.7000,Restaurant LE Canada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/restaurant_le_canada_45.4500_6.7000.json,custom
45.453905,6.694087,ov_la_kok_la_sushi_45.4539_6.6941,La Kokèla Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/la_kokla_sushi_45.4539_6.6941.json,custom
45.455070,6.701040,ov_refuge_de_la_porte_du_bois_45.4551_6.7010,Refuge de la Porte du Bois,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/refuge_de_la_porte_du_bois_45.4551_6.7010.json,custom
45.456333,6.693871,ov_il_ristorante_alpina_45.4563_6.6939,Il Ristorante Alpina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/il_ristorante_alpina_45.4563_6.6939.json,custom
45.456032,6.694080,ov_restaurant_le_barillon_45.4560_6.6941,Restaurant le Barillon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/restaurant_le_barillon_45.4560_6.6941.json,custom
45.455607,6.694215,ov_la_timbale_45.4556_6.6942,La Timbale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/la_timbale_45.4556_6.6942.json,custom
45.455391,6.694591,ov_le_grand_bouquetin_45.4554_6.6946,Le grand bouquetin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/le_grand_bouquetin_45.4554_6.6946.json,custom
45.456650,6.699507,ov_restaurant_le_bouquetin_45.4567_6.6995,Restaurant LE Bouquetin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/champagny-en-vanoise/pages/restaurant_le_bouquetin_45.4567_6.6995.json,custom
