# lat,lng,id,name,building_type,type,url,page_type
# lenk -- restaurants.csv
46.435488,7.420940,ov_berghaus_betelberg_46.4355_7.4209,Berghaus Betelberg,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/berghaus_betelberg_46.4355_7.4209.json,custom
46.455939,7.443832,ov_elk_restaurant_46.4559_7.4438,Elk Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/elk_restaurant_46.4559_7.4438.json,custom
46.458064,7.444870,ov_h_ttenzauber_46.4581_7.4449,Hüttenzauber,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/httenzauber_46.4581_7.4449.json,custom
46.457204,7.441826,ov_antica_posta_46.4572_7.4418,Antica Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/antica_posta_46.4572_7.4418.json,custom
46.457212,7.442489,ov_caf____bar_bazar_lenk_46.4572_7.4425,Café & Bar Bazar Lenk,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/caf_bar_bazar_lenk_46.4572_7.4425.json,custom
46.457196,7.442634,ov_restaurant_anker_46.4572_7.4426,Restaurant Anker,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/restaurant_anker_46.4572_7.4426.json,custom
46.461171,7.443045,ov_anker_ancora_46.4612_7.4430,Anker Ancora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/anker_ancora_46.4612_7.4430.json,custom
46.457281,7.441469,ov_hotel_restaurant_zum_gade_46.4573_7.4415,Hotel Restaurant Zum Gade,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/hotel_restaurant_zum_gade_46.4573_7.4415.json,custom
46.454823,7.438277,ov_chalet_lenk_restaurant_46.4548_7.4383,Chalet Lenk Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/chalet_lenk_restaurant_46.4548_7.4383.json,custom
46.440755,7.429412,ov_restaurant_berghaus_stoss_46.4408_7.4294,Restaurant Berghaus Stoss,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/restaurant_berghaus_stoss_46.4408_7.4294.json,custom
46.444050,7.467302,ov_snow_beach_lodge_46.4441_7.4673,Snow Beach Lodge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/snow_beach_lodge_46.4441_7.4673.json,custom
46.453653,7.469420,ov_b_hlberg_by_lenkerhof_46.4537_7.4694,Bühlberg by Lenkerhof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/bhlberg_by_lenkerhof_46.4537_7.4694.json,custom
46.472487,7.470490,ov_bergbaus_laubb_rgli_46.4725_7.4705,Bergbaus Laubbärgli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/bergbaus_laubbrgli_46.4725_7.4705.json,custom
46.417078,7.490427,ov_bergrestaurant_siebenbr_nnen_46.4171_7.4904,Bergrestaurant Siebenbrünnen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/bergrestaurant_siebenbrnnen_46.4171_7.4904.json,custom
46.443950,7.495014,ov_bergrestaurant_metschstand_46.4439_7.4950,Bergrestaurant Metschstand,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/bergrestaurant_metschstand_46.4439_7.4950.json,custom
46.443731,7.483666,ov__tzi_bar_46.4437_7.4837,Ötzi Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/tzi_bar_46.4437_7.4837.json,custom
46.457215,7.440944,osm_kreuz_46.4572_7.4409,Kreuz,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/kreuz_46.4572_7.4409.json,custom
46.449673,7.453038,osm_kuspo_46.4497_7.4530,Kuspo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/kuspo_46.4497_7.4530.json,custom
46.457240,7.442718,osm_anker_46.4572_7.4427,Anker,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/anker_46.4572_7.4427.json,custom
46.458917,7.446197,osm_tenne_46.4589_7.4462,Tenne,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/tenne_46.4589_7.4462.json,custom
46.457328,7.442431,osm_grand_bazar_46.4573_7.4424,Grand Bazar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/grand_bazar_46.4573_7.4424.json,custom
46.457302,7.441586,osm_zum_gade_46.4573_7.4416,zum Gade,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/zum_gade_46.4573_7.4416.json,custom
46.457198,7.441897,osm_pizzeria_antica_posta_46.4572_7.4419,Pizzeria Antica Posta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/pizzeria_antica_posta_46.4572_7.4419.json,custom
46.450927,7.471400,osm_s_dschneebar_46.4509_7.4714,Südschneebar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/sdschneebar_46.4509_7.4714.json,custom
46.426817,7.476192,osm_simmenf_lle_46.4268_7.4762,Simmenfälle,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/simmenflle_46.4268_7.4762.json,custom
46.453715,7.469396,osm_b_hlberg_46.4537_7.4694,Bühlberg,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/bhlberg_46.4537_7.4694.json,custom
46.455092,7.425025,osm_wallegg_stube_46.4551_7.4250,Wallegg-Stube,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/wallegg-stube_46.4551_7.4250.json,custom
46.454882,7.438305,osm_chalet_lenk_46.4549_7.4383,Chalet Lenk,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/chalet_lenk_46.4549_7.4383.json,custom
46.472483,7.470443,osm_berghaus_laubb_rgli_46.4725_7.4704,Berghaus Laubbärgli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/lenk/pages/berghaus_laubbrgli_46.4725_7.4704.json,custom
