# lat,lng,id,name,building_type,type,url,page_type
# passy -- gyms
46.060539,6.549324,ov_aqua_park_du_mont_blanc_46.0605_6.5493,Aqua Park Du Mont-Blanc,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/aqua_park_du_mont-blanc_46.0605_6.5493.json,custom
45.950805,6.740360,ov_a_rofiz_parapente_mont_blanc_45.9508_6.7404,Aérofiz Parapente Mont-Blanc,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/arofiz_parapente_mont-blanc_45.9508_6.7404.json,custom
45.921951,6.723499,ov_refuge_de_plat__45.9220_6.7235,Refuge de Platé,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/refuge_de_plat_45.9220_6.7235.json,custom
45.924106,6.722259,ov_cible_du_mont_blanc_45.9241_6.7223,cible du mont blanc,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/cible_du_mont_blanc_45.9241_6.7223.json,custom
45.924190,6.722605,ov_les_archers_du_mont_blanc_45.9242_6.7226,Les Archers du Mont Blanc,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/les_archers_du_mont_blanc_45.9242_6.7226.json,custom
45.907680,6.716070,ov_ecole_des_plagnes_45.9077_6.7161,Ecole des Plagnes,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/ecole_des_plagnes_45.9077_6.7161.json,custom
45.907867,6.716235,ov_club_alpin_francais_passy_chedde_45.9079_6.7162,Club Alpin Francais Passy Chedde,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/club_alpin_francais_passy_chedde_45.9079_6.7162.json,custom
45.913911,6.713951,ov_crossfit_mont_blanc_45.9139_6.7140,CrossFit Mont Blanc,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/crossfit_mont_blanc_45.9139_6.7140.json,custom
45.939350,6.706930,ov_la_caisse___diot_45.9393_6.7069,La Caisse à Diot,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/la_caisse_diot_45.9393_6.7069.json,custom
45.913234,6.706250,ov_run_and_sens_45.9132_6.7062,Run and Sens,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/run_and_sens_45.9132_6.7062.json,custom
45.913498,6.704238,ov_gymnase_des_fiz_45.9135_6.7042,Gymnase des Fiz,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/gymnase_des_fiz_45.9135_6.7042.json,custom
45.914475,6.705651,ov_i_c_e_45.9145_6.7057,I.C.E,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/ice_45.9145_6.7057.json,custom
45.922284,6.706930,ov_ski_indoor_45.9223_6.7069,Ski Indoor,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/ski_indoor_45.9223_6.7069.json,custom
45.929462,6.706963,ov_pure_canyoning_45.9295_6.7070,Pure Canyoning,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/pure_canyoning_45.9295_6.7070.json,custom
45.914370,6.696653,ov_tennis_club_passy_mont_blanc_45.9144_6.6967,Tennis Club Passy Mont Blanc,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/tennis_club_passy_mont_blanc_45.9144_6.6967.json,custom
45.917440,6.697187,ov_mont_blanc_padel_45.9174_6.6972,Mont Blanc Padel,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/mont_blanc_padel_45.9174_6.6972.json,custom
45.938632,6.696089,ov_via_ferrata_curalla_45.9386_6.6961,Via Ferrata Curalla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/via_ferrata_curalla_45.9386_6.6961.json,custom
45.922500,6.655980,ov_petits_bateaux___mini_golf___pedalos_du__45.9225_6.6560,Petits Bateaux / Mini-Golf / Pedalos du lac de Passy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/petits_bateaux_mini-golf_pedalos_du_lac__45.9225_6.6560.json,custom
45.924784,6.685643,ov_ski_club_de_varan_45.9248_6.6856,Ski Club de Varan,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/ski_club_de_varan_45.9248_6.6856.json,custom
45.923392,6.684919,ov_crossfit_mont_blanc_45.9234_6.6849,CrossFit Mont Blanc,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/crossfit_mont_blanc_45.9234_6.6849.json,custom
45.920382,6.692271,ov_loisirs_assis_evasion_45.9204_6.6923,Loisirs Assis Evasion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/passy/pages/loisirs_assis_evasion_45.9204_6.6923.json,custom
