# lat,lng,id,name,building_type,type,url,page_type
# Ampezzo -- Tutti
46.410304,12.805815,ov_pizzeria_al_greco_46.4103_12.8058,Pizzeria Al Greco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/pizzeria_al_greco_46.4103_12.8058.json,custom
46.401052,12.754392,ov_monte_j_f_46.4011_12.7544,Monte Jòf,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/monte_jf_46.4011_12.7544.json,custom
46.421900,12.751410,ov_schenewelde_46.4219_12.7514,Schenewelde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/schenewelde_46.4219_12.7514.json,custom
46.416369,12.791014,osm_albergo_dal_cortesan_46.4164_12.7910,Albergo dal Cortesan,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/albergo_dal_cortesan_46.4164_12.7910.json,custom
46.415764,12.795920,osm_hotel_colmajer_46.4158_12.7959,Hotel Colmajer,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/hotel_colmajer_46.4158_12.7959.json,custom
46.414680,12.766784,osm_albergo_al_pura_46.4147_12.7668,Albergo Al Pura,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/albergo_al_pura_46.4147_12.7668.json,custom
46.416370,12.793916,ov_in_corte_bistrot_46.4164_12.7939,In Corte Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/in_corte_bistrot_46.4164_12.7939.json,custom
46.416566,12.794152,ov_bar_alla_piazza_46.4166_12.7942,Bar Alla Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/bar_alla_piazza_46.4166_12.7942.json,custom
46.416301,12.794870,osm_osteria_al_vatican_46.4163_12.7949,Osteria al Vatican,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/osteria_al_vatican_46.4163_12.7949.json,custom
46.411698,12.799430,ov_centro_sportivo_ampezzano_46.4117_12.7994,Centro Sportivo Ampezzano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/centro_sportivo_ampezzano_46.4117_12.7994.json,custom
46.416047,12.794620,ov_museo_geologico_della_carnia_46.4160_12.7946,Museo Geologico della Carnia,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/museo_geologico_della_carnia_46.4160_12.7946.json,custom
46.415540,12.797016,osm_ufficio_postale_di_ampezzo_46.4155_12.7970,Ufficio postale di Ampezzo,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/ufficio_postale_di_ampezzo_46.4155_12.7970.json,custom
46.416554,12.794574,ov_biblioteca_comunale_di_ampezzo_46.4166_12.7946,Biblioteca Comunale di Ampezzo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/biblioteca_comunale_di_ampezzo_46.4166_12.7946.json,custom
46.416554,12.794574,osm_biblioteca_comunale_46.4166_12.7946,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ampezzo/pages/biblioteca_comunale_46.4166_12.7946.json,custom
