# lat,lng,id,name,building_type,type,url,page_type
# Aquileia -- Tutti
45.756989,13.359298,ov_da_nettuno_ristorante_pizzeria_45.7570_13.3593,Da Nettuno Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/da_nettuno_ristorante_pizzeria_45.7570_13.3593.json,custom
45.756366,13.335101,ov_agriturismo_bacco_ubriaco_45.7564_13.3351,Agriturismo Bacco Ubriaco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/agriturismo_bacco_ubriaco_45.7564_13.3351.json,custom
45.768339,13.361621,ov_agriturismo_bacco_ubriaco_45.7683_13.3616,Agriturismo bacco ubriaco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/agriturismo_bacco_ubriaco_45.7683_13.3616.json,custom
45.775443,13.364921,ov_al_barut_ta_strada_45.7754_13.3649,Al Barut ta Strada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/al_barut_ta_strada_45.7754_13.3649.json,custom
45.786819,13.358112,ov_ospampas_churrascaria_45.7868_13.3581,OsPampas Churrascaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/ospampas_churrascaria_45.7868_13.3581.json,custom
45.783362,13.377887,ov_ristorante_colombara_45.7834_13.3779,Ristorante Colombara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/ristorante_colombara_45.7834_13.3779.json,custom
45.784184,13.379812,ov_tarlao_roberto_45.7842_13.3798,Tarlao Roberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/tarlao_roberto_45.7842_13.3798.json,custom
45.784199,13.379500,ov_alla_frasca_45.7842_13.3795,Alla Frasca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/alla_frasca_45.7842_13.3795.json,custom
45.775941,13.370589,ov_ristorante_la_capannina_45.7759_13.3706,Ristorante La Capannina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/ristorante_la_capannina_45.7759_13.3706.json,custom
45.771567,13.367470,ov_chiosco_dell_anguriaro_45.7716_13.3675,Chiosco dell'anguriaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/chiosco_dellanguriaro_45.7716_13.3675.json,custom
45.770701,13.368739,ov_ristorante_pizzeria_albergo_alla_basilic_45.7707_13.3687,Ristorante Pizzeria Albergo Alla Basilica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/ristorante_pizzeria_albergo_alla_basilic_45.7707_13.3687.json,custom
45.769042,13.370093,ov_pizza_e_sapori_soles_45.7690_13.3701,Pizza e Sapori Soles,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/pizza_e_sapori_soles_45.7690_13.3701.json,custom
45.767781,13.367487,ov_pizzeria_al_taglio_da_ciccio_45.7678_13.3675,Pizzeria al taglio da Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/pizzeria_al_taglio_da_ciccio_45.7678_13.3675.json,custom
45.766667,13.366667,ov_aquileia_45.7667_13.3667,Aquileia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/aquileia_45.7667_13.3667.json,custom
45.764415,13.368039,ov_restaurant__pizzeria___bar_new_al_parco__45.7644_13.3680,"Restaurant, Pizzeria & Bar New al Parco Srls",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/restaurant_pizzeria_bar_new_al_parco_srl_45.7644_13.3680.json,custom
45.764214,13.370102,ov_rusticus_steak_house_45.7642_13.3701,Rusticus Steak House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/rusticus_steak_house_45.7642_13.3701.json,custom
45.765247,13.370434,ov_ristorante_corallo_45.7652_13.3704,Ristorante Corallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/ristorante_corallo_45.7652_13.3704.json,custom
45.761720,13.371766,ov_antica_aquileia_45.7617_13.3718,Antica Aquileia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/aquileia/pages/antica_aquileia_45.7617_13.3718.json,custom
