# lat,lng,id,name,building_type,type,url,page_type
# gualtieri -- restaurants
44.895120,10.611647,ov_acetaia_al_livel_44.8951_10.6116,Acetaia Al livel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/acetaia_al_livel_44.8951_10.6116.json,custom
44.905024,10.627659,ov_pizzeria_del_corso_44.9050_10.6277,Pizzeria Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/pizzeria_del_corso_44.9050_10.6277.json,custom
44.905467,10.630007,ov_ristorante_impronte_di_luca_44.9055_10.6300,Ristorante Impronte di Luca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/ristorante_impronte_di_luca_44.9055_10.6300.json,custom
44.905375,10.629956,ov_ristorante_bentivoglio_44.9054_10.6300,Ristorante Bentivoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/ristorante_bentivoglio_44.9054_10.6300.json,custom
44.903823,10.633977,ov_osteria_della_merla_44.9038_10.6340,Osteria della Merla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/osteria_della_merla_44.9038_10.6340.json,custom
44.901767,10.630008,ov_pizzeria_franco___miki_2_44.9018_10.6300,Pizzeria Franco & Miki 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/pizzeria_franco_miki_2_44.9018_10.6300.json,custom
44.889035,10.631503,ov_sushiko_gualtieri_44.8890_10.6315,Sushiko Gualtieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/sushiko_gualtieri_44.8890_10.6315.json,custom
44.888852,10.635628,ov_bridge_restaurant___pizza_44.8889_10.6356,Bridge Restaurant & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/bridge_restaurant_pizza_44.8889_10.6356.json,custom
44.856820,10.633031,ov_pizzeria_partenope_44.8568_10.6330,Pizzeria Partenope,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/pizzeria_partenope_44.8568_10.6330.json,custom
44.857320,10.630489,ov_il_bettolino_44.8573_10.6305,Il Bettolino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/il_bettolino_44.8573_10.6305.json,custom
44.854606,10.634741,ov_pizzeria_la_sfiziosa_44.8546_10.6347,Pizzeria la Sfiziosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/pizzeria_la_sfiziosa_44.8546_10.6347.json,custom
44.854251,10.636018,ov_le_notti_del_lambrusco__santavittoria_44.8543_10.6360,Le Notti del Lambrusco #SantaVittoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/le_notti_del_lambrusco_santavittoria_44.8543_10.6360.json,custom
44.921566,10.625353,osm_osteria_la_lumira_44.9216_10.6254,Osteria La Lumira,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/gualtieri/pages/osteria_la_lumira_44.9216_10.6254.json,custom
