# lat,lng,id,name,building_type,type,url,page_type
# Lagosanto -- Tutti
44.775681,12.121986,ov_ospedale_del_delta_44.7757_12.1220,Ospedale del Delta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/ospedale_del_delta_44.7757_12.1220.json,custom
44.782124,12.124246,ov_ospedale_del_delta_44.7821_12.1242,Ospedale del Delta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/ospedale_del_delta_44.7821_12.1242.json,custom
44.761693,12.140327,ov_pizzeria_la_comida_44.7617_12.1403,Pizzeria La Comida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/pizzeria_la_comida_44.7617_12.1403.json,custom
44.765223,12.141097,ov_pizza_casa_44.7652_12.1411,Pizza Casa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/pizza_casa_44.7652_12.1411.json,custom
44.765136,12.141242,ov_osteria_la_saraghina_44.7651_12.1412,Osteria La Saraghina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/osteria_la_saraghina_44.7651_12.1412.json,custom
44.764628,12.142233,ov_pizzeria_da_asporto_la_marinara_44.7646_12.1422,Pizzeria Da Asporto La Marinara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/pizzeria_da_asporto_la_marinara_44.7646_12.1422.json,custom
44.764298,12.140776,ov_pizzeria_la_diavola_44.7643_12.1408,Pizzeria La Diavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/pizzeria_la_diavola_44.7643_12.1408.json,custom
44.762808,12.140570,ov_la_vecchia_pescheria_44.7628_12.1406,La vecchia Pescheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/la_vecchia_pescheria_44.7628_12.1406.json,custom
44.781840,12.124841,ov_locanda_dei_sapori___alloggi_e_ristorant_44.7818_12.1248,Locanda dei Sapori - Alloggi e ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/locanda_dei_sapori_-_alloggi_e_ristorant_44.7818_12.1248.json,custom
44.761294,12.140347,ov_birreria_monna_lisa_44.7613_12.1403,Birreria Monna Lisa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/birreria_monna_lisa_44.7613_12.1403.json,custom
44.761899,12.140354,ov_vineria_82_44.7619_12.1404,Vineria 82,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/vineria_82_44.7619_12.1404.json,custom
44.759876,12.139865,ov_bar_smile_44.7599_12.1399,Bar Smile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/bar_smile_44.7599_12.1399.json,custom
44.765451,12.140880,ov_bar_la_torre_44.7655_12.1409,Bar La Torre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/bar_la_torre_44.7655_12.1409.json,custom
44.765669,12.141048,ov_bar_centrale_44.7657_12.1410,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lagosanto/pages/bar_centrale_44.7657_12.1410.json,custom
