# lat,lng,id,name,building_type,type,url,page_type
# Marlengo -- Tutti
46.659514,11.137722,ov_albergo_senn_am_egg_46.6595_11.1377,Albergo Senn Am Egg,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/albergo_senn_am_egg_46.6595_11.1377.json,custom
46.661942,11.135280,ov_grill_enzian_46.6619_11.1353,Grill Enzian,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/grill_enzian_46.6619_11.1353.json,custom
46.660725,11.135069,ov_buschenschank_larchwalderhof_46.6607_11.1351,Buschenschank Larchwalderhof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/buschenschank_larchwalderhof_46.6607_11.1351.json,custom
46.657570,11.140279,ov_restaurant_oberwirt_marling_46.6576_11.1403,Restaurant Oberwirt Marling,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/restaurant_oberwirt_marling_46.6576_11.1403.json,custom
46.654486,11.147199,ov_happm_pappm_marling_46.6545_11.1472,Happm Pappm Marling,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/happm_pappm_marling_46.6545_11.1472.json,custom
46.656169,11.149007,ov_untermaiser_w_rstelbude_46.6562_11.1490,Untermaiser Würstelbude,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/untermaiser_wrstelbude_46.6562_11.1490.json,custom
46.654118,11.138133,ov_trattoria_tschigg_46.6541_11.1381,Trattoria Tschigg,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/trattoria_tschigg_46.6541_11.1381.json,custom
46.651192,11.136589,ov_gasthaus_waalheim_46.6512_11.1366,Gasthaus Waalheim,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/gasthaus_waalheim_46.6512_11.1366.json,custom
46.648386,11.128451,ov_gasthaus_tschigg_46.6484_11.1285,Gasthaus Tschigg,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/gasthaus_tschigg_46.6484_11.1285.json,custom
46.636365,11.101196,ov_sessellift_46.6364_11.1012,Sessellift,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/sessellift_46.6364_11.1012.json,custom
46.671762,11.134815,ov_autogrill_fai__mebo_algund__46.6718_11.1348,Autogrill FAI (MeBo Algund),RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/autogrill_fai_mebo_algund_46.6718_11.1348.json,custom
46.652570,11.146803,ov_cafe_gravenstein_46.6526_11.1468,Cafe Gravenstein,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/cafe_gravenstein_46.6526_11.1468.json,custom
46.654177,11.140212,ov_bar_gerta_imbisstube_walter_46.6542_11.1402,Bar Gerta Imbisstube Walter,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/bar_gerta_imbisstube_walter_46.6542_11.1402.json,custom
46.657701,11.144757,ov_jawag_46.6577_11.1448,Jawag,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/jawag_46.6577_11.1448.json,custom
46.654462,11.141022,ov_bibliothek_marling_46.6545_11.1410,Bibliothek Marling,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marlengo/pages/bibliothek_marling_46.6545_11.1410.json,custom
