# lat,lng,id,name,building_type,type,url,page_type
# Meduna di Livenza -- Tutti
45.806276,12.612169,ov_andy_s_pizza_45.8063_12.6122,Andy's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/andys_pizza_45.8063_12.6122.json,custom
45.806550,12.612675,ov_acquasanta_hostaria_45.8066_12.6127,Acquasanta Hostaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/acquasanta_hostaria_45.8066_12.6127.json,custom
45.807023,12.613679,ov_trattoria_al_giardino_45.8070_12.6137,Trattoria Al Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/trattoria_al_giardino_45.8070_12.6137.json,custom
45.805160,12.615513,ov_la_pausa_45.8052_12.6155,La Pausa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/la_pausa_45.8052_12.6155.json,custom
45.819161,12.601120,ov_cucina_snack_bar_tappafissa_45.8192_12.6011,Cucina Snack Bar Tappafissa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/cucina_snack_bar_tappafissa_45.8192_12.6011.json,custom
45.806212,12.612207,ov_chez_tobs_osteria_45.8062_12.6122,Chez Tobs Osteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/chez_tobs_osteria_45.8062_12.6122.json,custom
45.806456,12.612292,ov_bar_la_piazzetta_45.8065_12.6123,BAR La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/bar_la_piazzetta_45.8065_12.6123.json,custom
45.807561,12.641336,ov_bar_fasan_mure_45.8076_12.6413,Bar Fasan Mure,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/bar_fasan_mure_45.8076_12.6413.json,custom
45.815134,12.627303,ov_bar_da_petra_45.8151_12.6273,Bar da Petra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/bar_da_petra_45.8151_12.6273.json,custom
45.805504,12.613649,ov_biblioteca_comunale_di_meduna_di_livenza_45.8055_12.6136,Biblioteca Comunale di Meduna di Livenza,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/meduna_di_livenza/pages/biblioteca_comunale_di_meduna_di_livenza_45.8055_12.6136.json,custom
