# lat,lng,id,name,building_type,type,url,page_type
# minerbio -- bars_cafes
44.610930,11.479920,ov_denise__bar_44.6109_11.4799,Denise__bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/denisebar_44.6109_11.4799.json,custom
44.622822,11.485520,ov_bar_la_piazza_44.6228_11.4855,Bar La Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/bar_la_piazza_44.6228_11.4855.json,custom
44.623549,11.489314,ov_gascolounge_44.6235_11.4893,gascolounge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/gascolounge_44.6235_11.4893.json,custom
44.623505,11.489194,ov_central_bar_minerbio_44.6235_11.4892,Central Bar Minerbio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/central_bar_minerbio_44.6235_11.4892.json,custom
44.623891,11.489707,ov_il_buco_44.6239_11.4897,IL BUCO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/il_buco_44.6239_11.4897.json,custom
44.622979,11.489285,ov_in_cantina_da_me_44.6230_11.4893,In Cantina da me,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/in_cantina_da_me_44.6230_11.4893.json,custom
44.619480,11.453780,ov_centro_marani___ca__de__fabbri_44.6195_11.4538,Centro Marani - Ca' de' Fabbri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/centro_marani_-_ca_de_fabbri_44.6195_11.4538.json,custom
44.618449,11.453079,ov_bar_tabacchi_il_tempio_44.6184_11.4531,Bar tabacchi Il tempio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/bar_tabacchi_il_tempio_44.6184_11.4531.json,custom
44.609135,11.447371,ov_spettoleria_44.6091_11.4474,Spettoleria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/spettoleria_44.6091_11.4474.json,custom
44.633619,11.519166,ov_bar_tabaccheria_daniele_44.6336_11.5192,Bar Tabaccheria Daniele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/minerbio/pages/bar_tabaccheria_daniele_44.6336_11.5192.json,custom
