# lat,lng,id,name,building_type,type,url,page_type
# noventa_di_piave -- bars_cafes
45.675660,12.553060,ov_lascala_45.6757_12.5531,LaScala,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/lascala_45.6757_12.5531.json,custom
45.672970,12.537477,ov_sutto_caffe_45.6730_12.5375,Sutto Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/sutto_caffe_45.6730_12.5375.json,custom
45.669750,12.508595,ov_al_vinattiere_45.6698_12.5086,Al Vinattiere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/al_vinattiere_45.6698_12.5086.json,custom
45.670752,12.536370,ov_decanto_caffetteria_45.6708_12.5364,deCanto Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/decanto_caffetteria_45.6708_12.5364.json,custom
45.670456,12.536362,ov_decanto_wine_bar_45.6705_12.5364,deCanto Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/decanto_wine_bar_45.6705_12.5364.json,custom
45.669940,12.535921,ov_32_via_dei_birrai_45.6699_12.5359,32 Via dei Birrai,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/32_via_dei_birrai_45.6699_12.5359.json,custom
45.670687,12.535119,ov_bistrot_45.6707_12.5351,Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/bistrot_45.6707_12.5351.json,custom
45.660739,12.529683,ov_ninkasi_birreria_45.6607_12.5297,Ninkasi Birreria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/ninkasi_birreria_45.6607_12.5297.json,custom
45.660998,12.529951,ov_rolando_45.6610_12.5300,Rolando,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/rolando_45.6610_12.5300.json,custom
45.660940,12.528660,ov_in_bottega___noventa_di_piave_45.6609_12.5287,In Bottega - Noventa di Piave,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/in_bottega_-_noventa_di_piave_45.6609_12.5287.json,custom
45.662427,12.530422,ov_caffetteria_fiji_45.6624_12.5304,Caffetteria Fiji,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/caffetteria_fiji_45.6624_12.5304.json,custom
45.673244,12.525664,osm_suttowine_noventa_45.6732_12.5257,SuttoWine Noventa,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/suttowine_noventa_45.6732_12.5257.json,custom
45.679206,12.576486,osm_butterfly_pub_da_bobo_45.6792_12.5765,Butterfly Pub da Bobo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_di_piave/pages/butterfly_pub_da_bobo_45.6792_12.5765.json,custom
