# lat,lng,id,name,building_type,type,url,page_type
# Pomponesco -- Tutti
44.926466,10.591983,ov_hotel_albergo_trattoria_il_leone_44.9265_10.5920,Hotel Albergo Trattoria Il Leone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/hotel_albergo_trattoria_il_leone_44.9265_10.5920.json,custom
44.927647,10.592725,ov_ristorante_pizzeria_al_castello_44.9276_10.5927,Ristorante pizzeria Al Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/ristorante_pizzeria_al_castello_44.9276_10.5927.json,custom
44.927224,10.592420,ov_ristorante_cavalier_saltini_44.9272_10.5924,Ristorante Cavalier Saltini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/ristorante_cavalier_saltini_44.9272_10.5924.json,custom
44.927210,10.592422,osm_trattoria_cavalier_saltini_44.9272_10.5924,Trattoria Cavalier Saltini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/trattoria_cavalier_saltini_44.9272_10.5924.json,custom
44.926361,10.592094,osm_trattoria_albergo_il_leone_44.9264_10.5921,Trattoria Albergo Il Leone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/trattoria_albergo_il_leone_44.9264_10.5921.json,custom
44.927872,10.591340,ov_bar_nonsolokaf__44.9279_10.5913,Bar Nonsolokafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/bar_nonsolokaf_44.9279_10.5913.json,custom
44.929575,10.594612,ov_farabi_44.9296_10.5946,Farabi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/farabi_44.9296_10.5946.json,custom
44.927626,10.591953,osm_caf____caff__s_n_c__44.9276_10.5920,Cafè & Caffè S.n.C.,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/caf_caff_snc_44.9276_10.5920.json,custom
44.929696,10.594605,osm_non_solo_kaf__44.9297_10.5946,Non solo Kafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/non_solo_kaf_44.9297_10.5946.json,custom
44.927485,10.592806,osm_artcaf__44.9275_10.5928,ArtCafé,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pomponesco/pages/artcaf_44.9275_10.5928.json,custom
