# lat,lng,id,name,building_type,type,url,page_type
# san_vendemiano -- Tutti
45.893320,12.334220,ov_medici_pi__45.8933_12.3342,Medici Più,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/medici_pi_45.8933_12.3342.json,custom
45.888160,12.361810,ov_kinestetik_45.8882_12.3618,Kinestetik,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/kinestetik_45.8882_12.3618.json,custom
45.901183,12.328808,ov_trattoria_ai_gai_di_bortot_ernesto___c_s_45.9012_12.3288,Trattoria Ai Gai di Bortot Ernesto & C.Snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/trattoria_ai_gai_di_bortot_ernesto_csnc_45.9012_12.3288.json,custom
45.900604,12.331513,ov_micasa_dinner_and_dance_45.9006_12.3315,MiCasa Dinner and Dance,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/micasa_dinner_and_dance_45.9006_12.3315.json,custom
45.892495,12.337000,ov_pizzeria_new_dream_45.8925_12.3370,Pizzeria New Dream,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/pizzeria_new_dream_45.8925_12.3370.json,custom
45.883036,12.351046,ov_osteria_alla_curva_45.8830_12.3510,Osteria Alla Curva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/osteria_alla_curva_45.8830_12.3510.json,custom
45.888844,12.335415,ov_trattoria_new_replay_45.8888_12.3354,Trattoria New Replay,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/trattoria_new_replay_45.8888_12.3354.json,custom
45.890721,12.329609,ov_ristorante_b_b_da_john_45.8907_12.3296,Ristorante b&b da John,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/ristorante_bb_da_john_45.8907_12.3296.json,custom
45.885772,12.322411,ov_sodastream_italia_45.8858_12.3224,SodaStream Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/sodastream_italia_45.8858_12.3224.json,custom
45.890908,12.326269,ov_mcdonald_s_45.8909_12.3263,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/mcdonalds_45.8909_12.3263.json,custom
45.890031,12.323999,ov_ristorante_passaparola_45.8900_12.3240,Ristorante PassaParola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/ristorante_passaparola_45.8900_12.3240.json,custom
45.891156,12.322444,ov_espressodue___2md_srl_45.8912_12.3224,EspressoDue - 2MD SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/espressodue_-_2md_srl_45.8912_12.3224.json,custom
45.891708,12.328878,ov_ittiko_45.8917_12.3289,Ittiko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/ittiko_45.8917_12.3289.json,custom
45.892776,12.333362,ov_ristorante_pizzeria_rio_45.8928_12.3334,Ristorante Pizzeria Rio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/ristorante_pizzeria_rio_45.8928_12.3334.json,custom
45.881116,12.325092,ov_japan_house_san_vendemiano_45.8811_12.3251,Japan House San Vendemiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/japan_house_san_vendemiano_45.8811_12.3251.json,custom
45.879164,12.326983,ov_pizzeria_ristorante_gianca_45.8792_12.3270,Pizzeria Ristorante Gianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/pizzeria_ristorante_gianca_45.8792_12.3270.json,custom
45.879475,12.327089,ov_fen___kee_45.8795_12.3271,Fen & Kee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/fen_kee_45.8795_12.3271.json,custom
45.873347,12.339284,ov_agriturismo_al_capretto_45.8733_12.3393,Agriturismo Al Capretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/agriturismo_al_capretto_45.8733_12.3393.json,custom
45.876391,12.338680,ov_pizzeria_trattoria_nettuno_45.8764_12.3387,Pizzeria Trattoria Nettuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/pizzeria_trattoria_nettuno_45.8764_12.3387.json,custom
45.877881,12.337996,ov_cantina_salvador_pasquale_45.8779_12.3380,Cantina Salvador Pasquale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/cantina_salvador_pasquale_45.8779_12.3380.json,custom
45.878089,12.338324,ov_prive_l_atelier_del_gusto_45.8781_12.3383,Prive L'Atelier del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/prive_latelier_del_gusto_45.8781_12.3383.json,custom
45.872156,12.365547,ov_birreria_prosit_45.8722_12.3655,Birreria Prosit,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/birreria_prosit_45.8722_12.3655.json,custom
45.872278,12.365438,ov_autentica_baviera_45.8723_12.3654,Autentica Baviera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/autentica_baviera_45.8723_12.3654.json,custom
45.888434,12.362489,ov_pizzeria_primo_amore_45.8884_12.3625,Pizzeria Primo Amore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/pizzeria_primo_amore_45.8884_12.3625.json,custom
45.888177,12.362246,ov_ai_salici_bar___ristorante_45.8882_12.3622,Ai Salici Bar & Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/ai_salici_bar_ristorante_45.8882_12.3622.json,custom
45.888189,12.357910,ov_mai__na_gioia_45.8882_12.3579,Mai 'Na Gioia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/mai_na_gioia_45.8882_12.3579.json,custom
45.916579,12.351658,ov_pasticceria_gelateria_europa_45.9166_12.3517,Pasticceria Gelateria Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/pasticceria_gelateria_europa_45.9166_12.3517.json,custom
45.886933,12.344072,ov_de_gasperi_72_45.8869_12.3441,De Gasperi 72,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/de_gasperi_72_45.8869_12.3441.json,custom
45.890061,12.340042,ov_maxcafe___san_vendemiano_45.8901_12.3400,MaxCafe - San Vendemiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/maxcafe_-_san_vendemiano_45.8901_12.3400.json,custom
45.890024,12.334404,ov_nabu_45.8900_12.3344,NABU,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/nabu_45.8900_12.3344.json,custom
45.887103,12.321161,ov_studio_legale_vinci_avv__emanuela_45.8871_12.3212,Studio Legale Vinci Avv. Emanuela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/studio_legale_vinci_avv_emanuela_45.8871_12.3212.json,custom
45.891482,12.321735,ov_neiko_45.8915_12.3217,Neiko,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/neiko_45.8915_12.3217.json,custom
45.895216,12.327647,ov_deposito20_45.8952_12.3276,Deposito20,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/deposito20_45.8952_12.3276.json,custom
45.891840,12.328300,ov_ventotto_45.8918_12.3283,Ventotto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/ventotto_45.8918_12.3283.json,custom
45.891027,12.327642,ov_bar_effetto_ombra_45.8910_12.3276,Bar Effetto Ombra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/bar_effetto_ombra_45.8910_12.3276.json,custom
45.894006,12.334297,ov_papi_cafe_45.8940_12.3343,Papi Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/papi_cafe_45.8940_12.3343.json,custom
45.893640,12.334470,ov_barat_il_bar_dei_mat_45.8936_12.3345,Barat il bar dei mat,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/barat_il_bar_dei_mat_45.8936_12.3345.json,custom
45.894064,12.335111,ov_pasticceria_europa_45.8941_12.3351,Pasticceria Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/pasticceria_europa_45.8941_12.3351.json,custom
45.899329,12.326703,ov_bar_osteria_ai_colli_45.8993_12.3267,Bar Osteria Ai Colli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/bar_osteria_ai_colli_45.8993_12.3267.json,custom
45.885688,12.319758,ov_mamilla_style_45.8857_12.3198,Mamilla Style,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/mamilla_style_45.8857_12.3198.json,custom
45.883128,12.318601,ov_bar_tabaccheria_san_francisco_45.8831_12.3186,Bar tabaccheria San Francisco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/bar_tabaccheria_san_francisco_45.8831_12.3186.json,custom
45.881285,12.324245,ov_distributore_di_materiale_elettrico___so_45.8813_12.3242,Distributore di materiale elettrico - Sonepar - San Vendemia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/distributore_di_materiale_elettrico_-_so_45.8813_12.3242.json,custom
45.879926,12.325558,ov_amadeus_pub_san_vendemiano_45.8799_12.3256,Amadeus Pub San Vendemiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_vendemiano/pages/amadeus_pub_san_vendemiano_45.8799_12.3256.json,custom
