# lat,lng,id,name,building_type,type,url,page_type
# Seren del Grappa -- Tutti
45.989491,11.842071,ov_casa_soggiorno_anziani_soteria_45.9895_11.8421,Casa Soggiorno Anziani Soteria,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/casa_soggiorno_anziani_soteria_45.9895_11.8421.json,custom
45.894609,11.787392,ov_rifugio_bocchette_45.8946_11.7874,Rifugio Bocchette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/rifugio_bocchette_45.8946_11.7874.json,custom
46.006120,11.874100,ov_il_castegner_46.0061_11.8741,Il Castegner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/il_castegner_46.0061_11.8741.json,custom
45.990330,11.845750,ov_rifugio_bocchette_45.9903_11.8458,Rifugio Bocchette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/rifugio_bocchette_45.9903_11.8458.json,custom
45.989720,11.844310,ov_bar_ristorante_forcelletto_45.9897_11.8443,BAR Ristorante Forcelletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/bar_ristorante_forcelletto_45.9897_11.8443.json,custom
45.988425,11.843185,ov_ristorante_pizzeria_locanda_al_cacciator_45.9884_11.8432,Ristorante Pizzeria Locanda al Cacciatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/ristorante_pizzeria_locanda_al_cacciator_45.9884_11.8432.json,custom
45.988507,11.843669,ov_osteria_la_tregua_45.9885_11.8437,Osteria La Tregua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/osteria_la_tregua_45.9885_11.8437.json,custom
45.994803,11.836754,ov_ristorante_pizzeria_al_vecchio_mulino_45.9948_11.8368,Ristorante Pizzeria Al Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/ristorante_pizzeria_al_vecchio_mulino_45.9948_11.8368.json,custom
45.948210,11.830643,ov_pizzeria_da_tilione_45.9482_11.8306,Pizzeria Da Tilione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/pizzeria_da_tilione_45.9482_11.8306.json,custom
45.988471,11.844097,osm_osteria_al_pentagono_45.9885_11.8441,Osteria Al Pentagono,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/osteria_al_pentagono_45.9885_11.8441.json,custom
45.988545,11.843321,ov_bar_vitocco_45.9885_11.8433,Bar Vitocco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/bar_vitocco_45.9885_11.8433.json,custom
45.996382,11.857962,ov_bar_sport_45.9964_11.8580,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/bar_sport_45.9964_11.8580.json,custom
45.997916,11.875097,ov_osteria_alla_pergola_45.9979_11.8751,osteria Alla Pergola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/osteria_alla_pergola_45.9979_11.8751.json,custom
45.997780,11.875363,ov_bar_da_fabio_45.9978_11.8754,Bar da Fabio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/bar_da_fabio_45.9978_11.8754.json,custom
45.988489,11.843310,osm_caff__vitocco_45.9885_11.8433,Caffè Vitocco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/caff_vitocco_45.9885_11.8433.json,custom
46.002551,11.866012,ov_palestrina_studio_professionale_46.0026_11.8660,Palestrina Studio Professionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/palestrina_studio_professionale_46.0026_11.8660.json,custom
46.002182,11.866518,ov_palestra_virtus_club_46.0022_11.8665,Palestra Virtus Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/palestra_virtus_club_46.0022_11.8665.json,custom
46.003294,11.868658,ov_palestra_singym_46.0033_11.8687,Palestra SINGYM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/palestra_singym_46.0033_11.8687.json,custom
45.988226,11.844447,osm_poste_italiane_45.9882_11.8444,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/seren_del_grappa/pages/poste_italiane_45.9882_11.8444.json,custom
