# lat,lng,id,name,building_type,type,url,page_type
# susegana -- gyms.csv
45.843020,12.264403,ov_toffoli_giochi_srl_45.8430_12.2644,Toffoli Giochi Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/toffoli_giochi_srl_45.8430_12.2644.json,custom
45.823084,12.253747,ov_studio_25_di_silvia_rossetto_45.8231_12.2537,Studio 25 di Silvia Rossetto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/studio_25_di_silvia_rossetto_45.8231_12.2537.json,custom
45.834869,12.226516,ov_atletic_colfosco_45.8349_12.2265,Atletic Colfosco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/atletic_colfosco_45.8349_12.2265.json,custom
45.837205,12.233821,ov_angeli_danza_45.8372_12.2338,Angeli Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/angeli_danza_45.8372_12.2338.json,custom
45.835631,12.217157,ov_sci_club_colfosco_45.8356_12.2172,Sci Club Colfosco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/sci_club_colfosco_45.8356_12.2172.json,custom
45.863653,12.267693,ov_fitup___susegana_45.8637_12.2677,FITUP - Susegana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/fitup_-_susegana_45.8637_12.2677.json,custom
45.855406,12.256511,ov_bowling_colorado_45.8554_12.2565,Bowling Colorado,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/bowling_colorado_45.8554_12.2565.json,custom
45.862914,12.261429,ov_il_caduceo_45.8629_12.2614,Il Caduceo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/il_caduceo_45.8629_12.2614.json,custom
45.862970,12.261670,ov_passion_4_life_45.8630_12.2617,Passion 4 life,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/passion_4_life_45.8630_12.2617.json,custom
45.862851,12.261944,ov_ganesha_studio_yoga_45.8629_12.2619,Ganesha Studio Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/ganesha_studio_yoga_45.8629_12.2619.json,custom
45.859568,12.263107,ov_area_4_enrico_prandini_45.8596_12.2631,Area 4 Enrico Prandini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/area_4_enrico_prandini_45.8596_12.2631.json,custom
45.861332,12.265568,ov_emstetik_45.8613_12.2656,Emstetik,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/susegana/pages/emstetik_45.8613_12.2656.json,custom
