# lat,lng,id,name,building_type,type,url,page_type
# Trivignano Udinese -- Tutti
45.827853,13.163759,ov_agriturismo_al_cjasal_45.8279_13.1638,Agriturismo al Cjasal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/agriturismo_al_cjasal_45.8279_13.1638.json,custom
45.931440,13.338702,ov_la_corte_dei_vizi_45.9314_13.3387,La Corte Dei Vizi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/la_corte_dei_vizi_45.9314_13.3387.json,custom
45.930567,13.331955,ov_azienda_agricola_paolo_spinello_45.9306_13.3320,Azienda Agricola Paolo Spinello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/azienda_agricola_paolo_spinello_45.9306_13.3320.json,custom
45.947234,13.340156,ov_pasta_macino_fine_food_45.9472_13.3402,Pasta Macino Fine Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/pasta_macino_fine_food_45.9472_13.3402.json,custom
45.947467,13.340440,ov_lemeti_45.9475_13.3404,Lemeti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/lemeti_45.9475_13.3404.json,custom
45.947410,13.340480,ov_principato_di_ariis_45.9474_13.3405,Principato di Ariis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/principato_di_ariis_45.9474_13.3405.json,custom
45.930313,13.332650,ov_san_marco_vin_bar_45.9303_13.3326,San Marco Vin Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/san_marco_vin_bar_45.9303_13.3326.json,custom
45.929943,13.332443,ov_the_harley_pub_45.9299_13.3324,The Harley Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/the_harley_pub_45.9299_13.3324.json,custom
45.945925,13.340611,ov_bar_olivo_45.9459_13.3406,Bar Olivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/bar_olivo_45.9459_13.3406.json,custom
45.946284,13.339706,osm_poste_italiane_45.9463_13.3397,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/poste_italiane_45.9463_13.3397.json,custom
45.945683,13.340883,osm_biblioteca_comunale_di_trivignano_udines_45.9457_13.3409,Biblioteca comunale di Trivignano Udinese,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/trivignano_udinese/pages/biblioteca_comunale_di_trivignano_udines_45.9457_13.3409.json,custom
